"cuce","entidad","tipo_contratacion","modalidad","objeto","estado","subasta","fecha_presentacion","fecha_publicacion","archivos","formularios","ficha_proceso","persona_contacto","garantia","costo_pliego","arpc","reunion_aclaracion","fecha_adjudicacion_desierta","departamento","normativa"
"21-0670-00-1107657-1-1","Organo Electoral Plurinacional","Servicios Generales","CM","Servicio De Terceros Para Apoyo En La Organizacion Y Archivo De Tramites Administrativos Oficina Zona Sur Del Servicio De Registro Civico De La Paz (Un Caso)","Contratado","No","29/01/2021","27/01/2021","1.Oferta del Proveedor Preseleccionado 2.Aceptación de publicación de oferta 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva","1.FORM 110 2.FORM 220 3.FORM 500","https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0670-00-1107657-1-1","Jhonny Reynaldo Quenta Chavez (Telf: 2424221)","","","-","","","La Paz","NB-SABS (D.S.0181)"
"21-0670-00-1107655-1-1","Organo Electoral Plurinacional","Servicios Generales","CM","Servicio De Tercero Para Apoyo En  El Saneamiento De Partidas De Matrimonio En Oficina Zona Sur Del Servicio De Registro Civico De La Paz (Un Caso)","Contratado","No","29/01/2021","27/01/2021","1.Oferta del Proveedor Preseleccionado 2.Aceptación de publicación de oferta 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva","1.FORM 110 2.FORM 220 3.FORM 500","https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0670-00-1107655-1-1","Jhonny Reynaldo Quenta Chavez (Telf: 2424221)","","","-","","","La Paz","NB-SABS (D.S.0181)"
"21-0670-00-1107654-1-1","Organo Electoral Plurinacional","Servicios Generales","CM","Servicio De Tercero Para Apoyo En  El Saneamiento De Partidas De Nacimiento En Oficina Zona Sur Del Servicio De Registro Civico De La Paz (Un Caso)","Contratado","No","29/01/2021","27/01/2021","1.Oferta del Proveedor Preseleccionado 2.Aceptación de publicación de oferta 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva","1.FORM 110 2.FORM 220 3.FORM 500","https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0670-00-1107654-1-1","Jhonny Reynaldo Quenta Chavez (Telf: 2424221)","","","-","","","La Paz","NB-SABS (D.S.0181)"
"21-1206-00-1107642-1-1","Gobierno Autonomo Municipal De Viacha","Servicios Generales","CM","Despacho Del Alcalde, S.M.A.F, S.M.T, S.M.D.H, Seccional (Servicio - Lineas Telefonicas, Gestion 2021)","Contratado","No","29/01/2021","27/01/2021","1.Aceptación de publicación de oferta 2.Oferta del Proveedor Preseleccionado 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva","1.FORM 110 2.FORM 220 3.FORM 500","https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-1206-00-1107642-1-1","Wilmer Mauricio Mamani Condori (Telf: 2800006)","","","-","","","La Paz","NB-SABS (D.S.0181)"
"21-0670-00-1107652-1-1","Organo Electoral Plurinacional","Servicios Generales","CM","Servicio De Terceros Para La Revision, Control De Calidad Del Tramites Administrativos De Saneamiento De Partidas De Matrimonio En Oficina Desconcentrada Zona Sur Del Servicio De Registro Civico De La Paz (Un Caso)","Contratado","No","29/01/2021","27/01/2021","1.Aceptación de publicación de oferta 2.Oferta del Proveedor Preseleccionado 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva","1.FORM 110 2.FORM 220 3.FORM 500","https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0670-00-1107652-1-1","Jhonny Reynaldo Quenta Chavez (Telf: 2424221)","","","-","","","La Paz","NB-SABS (D.S.0181)"
"21-0670-00-1107650-1-1","Organo Electoral Plurinacional","Servicios Generales","CM","Servicio De Tercero Para Apoyo En La Emision De Duplicados En La Certificacion De Partidas De Matrimonio En Oficina Desconcentrada Zona Sur Del Servicio De Registro Civico De La Paz (Un Caso)","Contratado","No","29/01/2021","27/01/2021","1.Aceptación de publicación de oferta 2.Oferta del Proveedor Preseleccionado 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva","1.FORM 110 2.FORM 220 3.FORM 500","https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0670-00-1107650-1-1","Jhonny Reynaldo Quenta Chavez (Telf: 2424221)","","","-","","","La Paz","NB-SABS (D.S.0181)"
"21-1316-00-1107648-1-1","Gobierno Autonomo Municipal De Villa Rivero","Bienes","CM","Adquisición De Mobiliario Para El Nivel Inicial Y Primario Para La U.E. 1ro De Julio","Contratado","No","29/01/2021","27/01/2021","1.Aceptación de publicación de oferta 2.Oferta del Proveedor Preseleccionado 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva","1.FORM 110 2.FORM 220 3.FORM 500","https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-1316-00-1107648-1-1","Ismael Franz Gutierrez Bracamonte (Telf: 4570608)","","","-","","","Cochabamba","NB-SABS (D.S.0181)"
"21-0670-00-1107647-1-1","Organo Electoral Plurinacional","Servicios Generales","CM","Servicio De Tercero Para Apoyo En La Emision De Duplicados En La  Certificacion De Partidas De Nacimiento En Oficina Desconcentrada Zona Sur Del Servicio De Registro Civico De La Paz (Un Caso)","Contratado","No","29/01/2021","27/01/2021","1.Oferta del Proveedor Preseleccionado 2.Aceptación de publicación de oferta 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva","1.FORM 110 2.FORM 220 3.FORM 500","https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0670-00-1107647-1-1","Jhonny Reynaldo Quenta Chavez (Telf: 2424221)","","","-","","","La Paz","NB-SABS (D.S.0181)"
"21-0670-00-1107645-1-1","Organo Electoral Plurinacional","Servicios Generales","CM","Servicio De Terceros Para Apoyo En La Organizacion Y Archivo De Tramites Administrativos, Judiciales Y Apostillado De Oficina Zona Sur Del Servicio De Registro Civico De La Paz (Un Caso)","Contratado","No","29/01/2021","27/01/2021","1.Oferta del Proveedor Preseleccionado 2.Aceptación de publicación de oferta 3.Contrato/Orden de Compra/Orden de Servicio 4.Doc. resolucion Contrato / Doc. deja sin efecto Orden de Compra/Servicio","1.FORM 110 2.FORM 220 3.FORM 600","https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0670-00-1107645-1-1","Jhonny Reynaldo Quenta Chavez (Telf: 2424221)","","","-","","","La Paz","NB-SABS (D.S.0181)"
"21-0670-00-1107644-1-1","Organo Electoral Plurinacional","Servicios Generales","CM","Servicio De Terceros Para La Organizacion Y Archivo De La Documentacion De La Seccion De Tecnologias De La Informacion Y Comunicacion Del Servicio De Registro Civico De La Paz (Un Caso)","Contratado","No","29/01/2021","27/01/2021","1.Aceptación de publicación de oferta 2.Oferta del Proveedor Preseleccionado 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva","1.FORM 110 2.FORM 220 3.FORM 500","https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0670-00-1107644-1-1","Jhonny Reynaldo Quenta Chavez (Telf: 2424221)","","","-","","","La Paz","NB-SABS (D.S.0181)"
