cuce,entidad,tipo_contratacion,modalidad,objeto,estado,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
21-0147-00-1136580-1-1,Universidad Autonoma Del Beni Jose Ballivian,Bienes,CM,"Equipamiento Equipo De Computacion Para Activos Fijos, Servicios Generales Y  Proyecto De Riberalta",Contratado,No,07/05/2021,04/05/2021,1.Oferta del Proveedor Identificado 2.Declaración Jurada del Proveedor 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0147-00-1136580-1-1,Manuel Rene Jimenez Alba (Telf: 4627139),,,-,,,Beni,NB-SABS (D.S.0181)
21-0047-15-1136624-1-1,Servicio Nacional De Sanidad Agropecuaria E Inocuidad Alimentaria Senasag,Servicios Generales,CM,Servicio De Currier Para La Distrital Santa Cruz Por La Gestión 2021,Anulado desde la convocatoria,No,07/05/2021,04/05/2021,1.Oferta del Proveedor Identificado 2.Declaración Jurada del Proveedor 3.Resolucion de Anulación,1.FORM 110 2.FORM 220,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0047-15-1136624-1-1,Lizeth Wendy Canaza Nina (Telf: 3-46281085),,,-,,,Beni,NB-SABS (D.S.0181)
21-0905-06-1136669-1-1,Servicio Departamental De Caminos - Potosi,Bienes,CM,Adquisicion De Repuestos Para Stock Almacenes,Contratado,No,07/05/2021,04/05/2021,1.Declaración Jurada del Proveedor 2.Oferta del Proveedor Identificado 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0905-06-1136669-1-1,Jhonely Gomez Flores (Telf: 6222061),,,-,,,Potosi,NB-SABS (D.S.0181)
21-0580-00-1136574-1-1,Depósitos Aduaneros Bolivianos ,Bienes,CM,Adquisicion De Precintos De Seguridad Gestion 2021,Contratado,No,07/05/2021,04/05/2021,1.Declaración Jurada del Proveedor 2.Oferta del Proveedor Identificado 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0580-00-1136574-1-1,Maria Eugenia Mamani Mamani (Telf: 2154035),,,-,,,La Paz,NB-SABS (D.S.0181)
21-0423-00-1136732-1-1,Caja De Salud De Caminos Y Ramas Anexas,Bienes,CM,Compra De Contraste Iodado Coronavirus - Regional La Apz,Contratado,No,07/05/2021,04/05/2021,1.Oferta del Proveedor Identificado 2.Declaración Jurada del Proveedor 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0423-00-1136732-1-1,Daysi Ximena Flores Muñoz (Telf: 2916539),,,-,,,La Paz,NB-SABS (D.S.0181)
21-0423-00-1136728-1-1,Caja De Salud De Caminos Y Ramas Anexas,Bienes,CM,Compra De Medicamentos E Insumos Fase Xi - Regional La Paz,Contratado,No,07/05/2021,04/05/2021,1.Declaración Jurada del Proveedor 2.Oferta del Proveedor Identificado 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0423-00-1136728-1-1,Daysi Ximena Flores Muñoz (Telf: 2916539),,,-,,,La Paz,NB-SABS (D.S.0181)
21-0580-00-1136682-1-1,Depósitos Aduaneros Bolivianos ,Servicios Generales,CM,Contratación Del Servicio De Courier  A Nivel Nacional Epne Dab Gestion 2021,Desierto,No,07/05/2021,04/05/2021,1.Declaración Jurada del Proveedor 2.Oferta del Proveedor Identificado 3.Resolucion/Documento de Declaratoria Desierta,1.FORM 110 2.FORM 220,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0580-00-1136682-1-1,Maria Eugenia Mamani Mamani (Telf: 2154035),,,-,,,La Paz,NB-SABS (D.S.0181)
21-0905-01-1136685-1-1,Servicio Departamental De Gestion Social - Potosi,Bienes,CM,"Adquisición De Productos De Cereales Para Centros, Programas Y Proyectos Dependientes Del Sedeges - Gestión 2021",Contratado,No,07/05/2021,04/05/2021,1.Oferta del Proveedor Identificado 2.Declaración Jurada del Proveedor 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva 5.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0905-01-1136685-1-1,German Ramiro Maygua Sanabria (Telf: 6224986),,,-,,,Potosi,NB-SABS (D.S.0181)
21-1501-00-1136684-1-1,Gobierno Autonomo Municipal De Potosi,Bienes,CM,Adquisicion Equipos De Computacion E Impresora Para La Jefatura De Educacion - Equipamiento Institucional Md,Contratado,No,07/05/2021,04/05/2021,1.Oferta del Proveedor Identificado 2.Declaración Jurada del Proveedor 3.Contrato/Orden de Compra/Orden de Servicio 4.Resolucion de Excepcion 5.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 900 4.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-1501-00-1136684-1-1,Sirley Colque Palenque (Telf: 6223140),,,-,,,Potosi,NB-SABS (D.S.0181)
21-2302-00-1136670-1-1,Empresa Municipal De Agua Potable Y Alcantarillado Sacaba,Servicios Generales,CM,"Mantenimiento Sanitario De Agua Potable Y Alcantarillado Sacaba (Sistema De Iluminacion Y Refacciones En General ? Ptars El Abra, Curubamba Y Pacata)",Contratado,No,07/05/2021,04/05/2021,1.Oferta del Proveedor Identificado 2.Declaración Jurada del Proveedor 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-2302-00-1136670-1-1,Selia Solamayo Mamani (Telf: 4706525),,,-,,,Cochabamba,NB-SABS (D.S.0181)
21-0905-01-1136666-1-1,Servicio Departamental De Gestion Social - Potosi,Bienes,CM,"Adquisición De Enlatados Para Centros, Programas Y Proyectos Dependientes Del Sedeges - Gestión 2021",Contratado,No,07/05/2021,04/05/2021,1.Declaración Jurada del Proveedor 2.Oferta del Proveedor Identificado 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva 5.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0905-01-1136666-1-1,German Ramiro Maygua Sanabria (Telf: 6224986),,,-,,,Potosi,NB-SABS (D.S.0181)
21-0417-01-1136622-1-1,Caja Nacional De Salud (Regional Tarija),Bienes,CM,"Adquisicion De Repuestos Para Ventilador Mecanico Adulto, Terapia Intensiva",Contratado,No,07/05/2021,04/05/2021,1.Oferta del Proveedor Identificado 2.Declaración Jurada del Proveedor 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0417-01-1136622-1-1,Juan Pablo Farfan Flores (Telf: 6642940),,,-,,,Tarija,NB-SABS (D.S.0181)
21-0015-15-1136581-1-1,"Direccion De Apoyo A La Prevencion Del Consumo De Drogas, Control De Trafico Ilicito De Sustancias Controladas Y Coca Excedentaria - Diprevcon",Bienes,CM,Adquisicion Material De Limpieza Para La Fuerza  De Tarea Especial Diablos Azules,Contratado,No,07/05/2021,04/05/2021,1.Declaración Jurada del Proveedor 2.Oferta del Proveedor Identificado 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0015-15-1136581-1-1,Rossely Isabel Pareja Gutierrez (Telf: 2211337),,,-,,,La Paz,NB-SABS (D.S.0181)
21-0411-00-1136632-1-1,Corporacion Del Seguro Social Militar - Cossmil,Bienes,CD,Compra De Cartridges Electrolitos H3 Para El Laboratorio Del Hospital Militar Central ?Cossmil?,Contratado,No,07/05/2021,04/05/2021,1.Declaración Jurada del Proveedor 2.Oferta del Proveedor Identificado 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0411-00-1136632-1-1,Edson Gonzalo Chavez  (Telf: 2900071),,,-,,,La Paz,D.S. 4174 (COVID-19)
21-0411-00-1136647-1-1,Corporacion Del Seguro Social Militar - Cossmil,Bienes,CD,Compra De Pruebas Igg E Igm  Elisa Para Covid Para El Laboratorio Del Hospital Militar Central ?Cossmil?,Contratado,No,07/05/2021,04/05/2021,1.Declaración Jurada del Proveedor 2.Oferta del Proveedor Identificado 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0411-00-1136647-1-1,Edson Gonzalo Chavez  (Telf: 2900071),,,-,,,La Paz,D.S. 4174 (COVID-19)
21-2302-00-1132579-1-1,Empresa Municipal De Agua Potable Y Alcantarillado Sacaba,Servicios Generales,CM,Mantenimiento Sanitario De Agua Potable Y Alcantarillado Sacaba (Mantenimiento De Equipos Electromecanicos - Ptar El Abra),Contratado,No,07/05/2021,04/05/2021,1.Oferta del Proveedor Identificado 2.Declaración Jurada del Proveedor 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-2302-00-1132579-1-1,Selia Solamayo Mamani (Telf: 4706525),,,-,,,Cochabamba,NB-SABS (D.S.0181)
