cuce,entidad,tipo_contratacion,modalidad,objeto,estado.x,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado.y,cronograma
20-1401-00-1035122-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,"150 Tijeras Podadoras De Dos Manos Mango Tubular Metalico De 19 Cm., 150 Rastrillo Flex Con Regulador Con Mango, 150 Levanta Basura De Lata De Alcohol, 150 Juego Estuche Jardinero De 3 Pzas., 150 Pzas Picota Pequeña Jardinero Karimacho (Unidad De Paisajismo Y Forestacion Alm-P-00028/20)",Contratado,NA,NA,2020-03-12,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Andres Angulo Rocha (Telf: 25251624),NA,NA,-,NA,2020-02-07,Oruro,NB-SABS (D.S.0181),1,3116000,34800,"150 TIJERAS PODADORAS DE DOS MANOS MANGO TUBULAR METALICO DE 19 CM., 150 RASTRILLO FLEX CON REGULADOR CON MANGO, 150 LEVANTA BASURA DE LATA DE ALCOHOL, 150 JUEGO ESTUCHE JARDINERO DE 3 PZAS., 150 PZAS",PIEZA,1,NA,NA,IBAÑEZ GOMEZ DE HINOJOSA RUTH ALINA,32100,32100,1,32100,32100,Contratado,Cronograma
19-0417-03-1036590-0-E,Caja Nacional De Salud Regional Santa Cruz,Bienes,CM,300 Pza. Aplicador De Clorhexidina Al 2% + Alcohol  Al 70% De 35 Ml - Servicio De Quirofano Y Anestesiologia Hosp. Mat. Inf. Cns,Contratado,NA,NA,2020-03-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Reinaldo Montes Sandoval (Telf: 3393354),NA,NA,-,NA,2019-11-13,Santa Cruz,NB-SABS (D.S.0181),1,4217000,34200,300 PZA. APLICADOR DE CLORHEXIDINA AL 2% MAS ALCOHOL AL 70% DE 35 ML,PIEZA,300,NA,NA,DISTRIBUIDORA GUTIERREZ & CIA SRL,110,33000,300,110,33000,Contratado,Cronograma
20-0512-00-1036261-0-E,Aasana,Bienes,CM,"Adquisiciã??N De Barbijos N 95, Barbijos Normales, Alcohol En Gel, Y Guante De Latex Para Los Aeropuertos De Uyuni, Oruro Y Cobija",Contratado,NA,NA,2020-03-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioDoc. resolucion Contrato / Doc. deja sin efecto Orden de Compra/Servicio,FORM 400FORM 600,Ver Ficha,Libertad Cuper Quispe (Telf: 2319731),NA,NA,-,NA,2020-03-10,La Paz,NB-SABS (D.S.0181),1,4618000,39100,GUANTES DE LATEX,PARES,600,NA,NA,GOMEZ TRINCADO PAMELA SAMANTA,1.3,780,NA,NA,NA,Resuelto,Cronograma
20-0512-00-1036261-0-E,Aasana,Bienes,CM,"Adquisiciã??N De Barbijos N 95, Barbijos Normales, Alcohol En Gel, Y Guante De Latex Para Los Aeropuertos De Uyuni, Oruro Y Cobija",Contratado,NA,NA,2020-03-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioDoc. resolucion Contrato / Doc. deja sin efecto Orden de Compra/Servicio,FORM 400FORM 600,Ver Ficha,Libertad Cuper Quispe (Telf: 2319731),NA,NA,-,NA,2020-03-10,La Paz,NB-SABS (D.S.0181),2,4412000,34200,ALCOHOL EN GEL DE 360ML,PIEZAS,600,NA,NA,GOMEZ TRINCADO PAMELA SAMANTA,31.5,18900,NA,NA,NA,Resuelto,Cronograma
20-0512-00-1036261-0-E,Aasana,Bienes,CM,"Adquisiciã??N De Barbijos N 95, Barbijos Normales, Alcohol En Gel, Y Guante De Latex Para Los Aeropuertos De Uyuni, Oruro Y Cobija",Contratado,NA,NA,2020-03-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioDoc. resolucion Contrato / Doc. deja sin efecto Orden de Compra/Servicio,FORM 400FORM 600,Ver Ficha,Libertad Cuper Quispe (Telf: 2319731),NA,NA,-,NA,2020-03-10,La Paz,NB-SABS (D.S.0181),3,4618000,33300,BARBIJOS N 95,UNIDAD,600,NA,NA,GOMEZ TRINCADO PAMELA SAMANTA,49.3,29580,NA,NA,NA,Resuelto,Cronograma
20-0512-00-1036261-0-E,Aasana,Bienes,CM,"Adquisiciã??N De Barbijos N 95, Barbijos Normales, Alcohol En Gel, Y Guante De Latex Para Los Aeropuertos De Uyuni, Oruro Y Cobija",Contratado,NA,NA,2020-03-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioDoc. resolucion Contrato / Doc. deja sin efecto Orden de Compra/Servicio,FORM 400FORM 600,Ver Ficha,Libertad Cuper Quispe (Telf: 2319731),NA,NA,-,NA,2020-03-10,La Paz,NB-SABS (D.S.0181),4,4213000,34500,BARBIJOS NORMALES,UNIDAD,600,NA,NA,GOMEZ TRINCADO PAMELA SAMANTA,0.7,420,NA,NA,NA,Resuelto,Cronograma
20-0660-11-1036951-0-E,Direccion Administrativa Y Financiera - Organo Judicial - Oruro,Bienes,CM,Adquisicion Alcohol En Gel,Contratado,NA,NA,2020-03-20,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Maritza Marlene Cadiz Medina (Telf: 5251965),NA,NA,-,NA,2020-03-13,Oruro,NB-SABS (D.S.0181),1,4713000,39100,ALCOHOL EN GEL,BOTE,3200,NA,NA,CHALCO AGUILAR DE VELASCO ROSA,14,44800,3200,14,44800,Contratado,Cronograma
20-1805-00-1037523-0-E,Gobierno Autonomo Municipal De Guayaramerin,Bienes,CM,"Adquisicion De Productos Quimicos (Lavandina, Alcohol, Acetona Insecticida Y Cal) Para El Materno Infantil Correspondiente A La Gestion 2020",Contratado,NA,NA,2020-03-25,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Fabiola Aliaga Anara (Telf: 8553628),NA,NA,-,NA,2020-03-16,Beni,NB-SABS (D.S.0181),1,5121000,34200,"ADQUISICION DE PRODUCTOS QUIMICOS (LAVANDINA, ALCOHOL, ACETONA INSECTICIDA Y CAL) PARA EL MATERNO INFANTIL CORRESPONDIENTE A LA GESTION 2020",GLOBAL,1,NA,NA,TORRICO MERUVIA VLADIMIR ISAIAS,31995,31995,1,31995,31995,Contratado,Cronograma
20-0907-00-1036360-0-E,Gobierno Autónomo Departamental De Santa Cruz,Bienes,CM,Adquisiciã??N De Alcohol Para El Almacã??N Del Hospital San Juan De Dios Gestiã??N 2020,Contratado,NA,NA,2020-03-26,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Lorgio Peinado Justiniano (Telf: 3636300/3-3332760 /3636256),NA,NA,-,NA,2020-03-06,Santa Cruz,NB-SABS (D.S.0181),1,5121000,34200,ALCOHOL 96%,FRASCO,3300,NA,NA,RODRIGUEZ LOPEZ DEJHANIR GRICELDA,15,49500,3300,15,49500,Contratado,Cronograma
20-1301-00-1037578-0-E,Gobierno Autonomo Municipal De Cochabamba,Bienes,CM,Adquisicion De Alcohol En Gel De 5 Litros Neutro Para Los Centros De Salud De Segundo Nivel Red Cercado,Contratado,NA,NA,2020-03-26,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Hamel Let Jacinto Ossa Lozada (Telf: 4258103- 4425810-4258030),NA,NA,-,NA,2020-03-18,Cochabamba,NB-SABS (D.S.0181),1,4713000,39100,ADQUISICION DE ALCOHOL EN GEL DE 5 LITROS NEUTRO PARA LOS CENTROS DE SALUD DE SEGUNDO NIVEL RED CERCADO,BIDON,410,NA,NA,ROCHA SILES VLADIMIR WALTER,120,49200,410,120,49200,Contratado,Cronograma
