cuce,entidad,tipo_contratacion,modalidad,objeto,estado.x,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado.y,cronograma
20-0902-00-1031238-0-E,Gobierno Autónomo Departamental De La Paz,Bienes,EM,"Adquisicion De Arroz Perla, Fideo, Azucar, Aceite Comestible, Leche En Polvo, Agua Mineral, Lentes De Seguridad Y Barbijos De Respiracion",Contratado,NA,NA,2020-03-06,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Abraham Miranda Layme (Telf: 2202567),NA,NA,-,NA,2020-01-24,La Paz,NB-SABS (D.S.0181),1,4618000,34200,BARBIJOS DE RESPIRACION,PIEZA,2000,NA,NA,CHUQUIMIA GARCIA XIMENA,1.5,3000,2000,1.5,3000,Contratado,Cronograma
20-0902-00-1031238-0-E,Gobierno Autónomo Departamental De La Paz,Bienes,EM,"Adquisicion De Arroz Perla, Fideo, Azucar, Aceite Comestible, Leche En Polvo, Agua Mineral, Lentes De Seguridad Y Barbijos De Respiracion",Contratado,NA,NA,2020-03-06,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Abraham Miranda Layme (Telf: 2202567),NA,NA,-,NA,2020-01-24,La Paz,NB-SABS (D.S.0181),2,5022000,31150,ARROZ PERLA,BOLSA (1 ARROBA),100,NA,NA,ORTEGA ESPINDOLA GRACIELA JUANA,87,8700,100,87,8700,Contratado,Cronograma
20-0902-00-1031238-0-E,Gobierno Autónomo Departamental De La Paz,Bienes,EM,"Adquisicion De Arroz Perla, Fideo, Azucar, Aceite Comestible, Leche En Polvo, Agua Mineral, Lentes De Seguridad Y Barbijos De Respiracion",Contratado,NA,NA,2020-03-06,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Abraham Miranda Layme (Telf: 2202567),NA,NA,-,NA,2020-01-24,La Paz,NB-SABS (D.S.0181),3,4618000,34200,LENTES DE SEGURIDAD,PIEZA,2000,NA,NA,CHUQUIMIA GARCIA XIMENA,18,36000,2000,18,36000,Contratado,Cronograma
20-0902-00-1031238-0-E,Gobierno Autónomo Departamental De La Paz,Bienes,EM,"Adquisicion De Arroz Perla, Fideo, Azucar, Aceite Comestible, Leche En Polvo, Agua Mineral, Lentes De Seguridad Y Barbijos De Respiracion",Contratado,NA,NA,2020-03-06,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Abraham Miranda Layme (Telf: 2202567),NA,NA,-,NA,2020-01-24,La Paz,NB-SABS (D.S.0181),4,5016000,31150,AZUCAR,BOLSA (1 ARROBA),100,NA,NA,ORTEGA ESPINDOLA GRACIELA JUANA,65,6500,100,65,6500,Contratado,Cronograma
20-0902-00-1031238-0-E,Gobierno Autónomo Departamental De La Paz,Bienes,EM,"Adquisicion De Arroz Perla, Fideo, Azucar, Aceite Comestible, Leche En Polvo, Agua Mineral, Lentes De Seguridad Y Barbijos De Respiracion",Contratado,NA,NA,2020-03-06,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Abraham Miranda Layme (Telf: 2202567),NA,NA,-,NA,2020-01-24,La Paz,NB-SABS (D.S.0181),5,5022000,31150,FIDEO,BOLSA ( 1 ARROBA),100,NA,NA,ORTEGA ESPINDOLA GRACIELA JUANA,71,7100,100,71,7100,Contratado,Cronograma
20-0902-00-1031238-0-E,Gobierno Autónomo Departamental De La Paz,Bienes,EM,"Adquisicion De Arroz Perla, Fideo, Azucar, Aceite Comestible, Leche En Polvo, Agua Mineral, Lentes De Seguridad Y Barbijos De Respiracion",Contratado,NA,NA,2020-03-06,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Abraham Miranda Layme (Telf: 2202567),NA,NA,-,NA,2020-01-24,La Paz,NB-SABS (D.S.0181),6,5020000,31150,AGUA,FRASCO (2 LITROS),300,NA,NA,ORTEGA ESPINDOLA GRACIELA JUANA,6.05,1815,300,6.05,1815,Contratado,Cronograma
20-0902-00-1031238-0-E,Gobierno Autónomo Departamental De La Paz,Bienes,EM,"Adquisicion De Arroz Perla, Fideo, Azucar, Aceite Comestible, Leche En Polvo, Agua Mineral, Lentes De Seguridad Y Barbijos De Respiracion",Contratado,NA,NA,2020-03-06,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Abraham Miranda Layme (Telf: 2202567),NA,NA,-,NA,2020-01-24,La Paz,NB-SABS (D.S.0181),7,5013000,31150,LECHE EN POLVO,BOLSA (760 GRAMOS ),100,NA,NA,ORTEGA ESPINDOLA GRACIELA JUANA,50,5000,100,50,5000,Contratado,Cronograma
20-0902-00-1031238-0-E,Gobierno Autónomo Departamental De La Paz,Bienes,EM,"Adquisicion De Arroz Perla, Fideo, Azucar, Aceite Comestible, Leche En Polvo, Agua Mineral, Lentes De Seguridad Y Barbijos De Respiracion",Contratado,NA,NA,2020-03-06,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Abraham Miranda Layme (Telf: 2202567),NA,NA,-,NA,2020-01-24,La Paz,NB-SABS (D.S.0181),8,5015000,31150,ACEITE COMESTIBLE,FRASCO (1 LITRO),100,NA,NA,ORTEGA ESPINDOLA GRACIELA JUANA,11.5,1150,100,11.5,1150,Contratado,Cronograma
20-0417-09-1034893-0-E,Caja Nacional De Salud - Regional La Paz,Bienes,CM,2 Items. 1000 Pza Barbijos Con Visor Antiempañante; 1000 Pza. Batas Quirurgicas. Jefatura Medica Unidad Gestion Suministros E Insumos Medicos Regional La Paz,Contratado,NA,NA,2020-03-11,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Brayan Luis Cabrera Vera (Telf: 2-901777),NA,NA,-,NA,2020-03-05,La Paz,NB-SABS (D.S.0181),1,4214000,34200,2 ITEMS. 1000 PZA BARBIJOS CON VISOR ANTIEMPAñANTE; 1000 PZA. BATAS QUIRURGICAS. JEFATURA MEDICA UNIDAD GESTION SUMINISTROS E INSUMOS MEDICOS REGIONAL LA PAZ,GLOBAL,1,NA,NA,SALUR S.R.L.,43000,43000,1,43000,43000,Contratado,Cronograma
20-0417-09-1034965-1-1,Caja Nacional De Salud - Regional La Paz,Bienes,ANPP,5 Items: Productos Quimicos Farmaceuticos. 1500 Pza. Batas Para Aislamiento Descartables; 2000 Pza. Barbijos Sin Filtro N95; 1500 Pza. Lentes De Protección-Antiparra; 1500 Pza. Overol Tyveck; 50000 Pza. Guantes De Nitrilo Puño Corto,Contratado,NA,2020-03-23,2020-03-11,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 100FORM 170FORM 200FORM 500,Ver Ficha,Jose Luis Peralta Rocha (Telf: 2-901777),NA,NA,-,17/03/2020 08:30,2020-03-30,La Paz,NB-SABS (D.S.0181),1,4214000,34200,1500 PZA. BATAS PARA AISLAMIENTO DESCARTABLES; 2000 PZA. BARBIJOS SIN FILTRO N95; 1500 PZA. LENTES DE PROTECCIÓN-ANTIPARRA; 1500 PZA. OVEROL TYVECK; 50000 PZ,GLOBAL,1,235900,235900,DISPROMED SRL.,235900,235900,1,235900,235900,Contratado,Cronograma 0
