cuce,entidad,tipo_contratacion,modalidad,objeto,estado,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1302-00-1036388-0-E,Gobierno Autonomo Municipal De Quillacollo,Bienes,CM,"Compra Urgente De Material De Bioseguridad Para Elpersonal Del Hospital Dr. Benigno Sanchez De Quillacollo (Fiebre Hemorragica, Dengue, Sika, Chicungunia De Contacto Con Secreciones Y Fluidos De Pacientes Infectados)",Contratado,NA,NA,2020-03-17,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Mireya Torrez Lizarazu (Telf: 4260095),NA,NA,-,NA,2020-03-11,Cochabamba,NB-SABS (D.S.0181)
20-1302-00-1036236-0-E,Gobierno Autonomo Municipal De Quillacollo,Bienes,CM,Compra Urgente De Material De Bioseguridad Covid-19 Para El Personal Del Hospital Dr. Benigno Sanchez De Quillacollo,Contratado,NA,NA,2020-03-17,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Claudia Samira Ortega Flores (Telf: 4260095),NA,NA,-,NA,2020-03-11,Cochabamba,NB-SABS (D.S.0181)
20-1604-00-1037312-0-E,Gobierno Autonomo Municipal De Yacuiba,Bienes,CM,"Adquisiciã?N De Productos Plasticos (Bolsas Comunes, Bolsas, Bioseguridad, Vasos, Platos, Cucharillas, Cucharas, Descartables Para El Hospital Municipal Dr. Ruben Zelaya",Contratado,NA,NA,2020-03-24,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Veronica Vanesa Villagomez Alvarez (Telf: 6822021 / 6822206),NA,NA,-,NA,2020-02-20,Tarija,NB-SABS (D.S.0181)
20-1302-00-1038010-0-E,Gobierno Autonomo Municipal De Quillacollo,Bienes,CM,Compra De Material De Bioseguridad Covid -19 Coronavirus Para Los Diferentes Centros De Salud De Primer Nivel,Contratado,NA,NA,2020-04-08,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Luis Gonzalo Iriarte Aranibar (Telf: 4260095),NA,NA,-,NA,2020-03-21,Cochabamba,NB-SABS (D.S.0181)
20-1260-00-1038134-0-E,Gobierno Autonomo Municipal De La Asunta,Bienes,CM,"Prevencion, Control Y Atencion Del Coronavirus ""Adquisicion De Mamelucos De Bioseguridad, Termòmetros Infrarrojos, Gorros Desechables Y Purificador De Aire Para Atenciòn Del Coronavirus (Covid-19), Primera Compra, Gestiòn 2020?",Contratado,NA,NA,2020-04-13,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Elena Quispe Camposalado (Telf: 76760241),NA,NA,-,NA,2020-04-01,La Paz,NB-SABS (D.S.0181)
20-1610-00-1037553-0-E,Gobierno Autonomo Municipal De El Puente - Trj,Bienes,CM,Adquisicion De Equipos E Insumos De Bioseguridad Para El Control Y Prevencion Del (Covid-19) - Municipio El Puente,Contratado,NA,NA,2020-04-14,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Cira Torrez Olarte (Telf: 4613690),NA,NA,-,NA,2020-03-25,Tarija,NB-SABS (D.S.0181)
20-1601-00-1038328-0-E,Gobierno Autonomo Municipal De Tarija,Bienes,CD,Adquisicion De Material De Bioseguridad Para Centros De Salud,Contratado,NA,NA,2020-04-15,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Shirley Margarzo Romero (Telf: 6643211 - 6643216),NA,NA,-,NA,2020-03-25,Tarija,NB-SABS (D.S.0181)
20-1601-00-1038329-0-E,Gobierno Autonomo Municipal De Tarija,Bienes,CD,Adquisicion De Cubre Calzados De Bioseguridad Para Centros De Salud,Contratado,NA,NA,2020-04-15,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Shirley Margarzo Romero (Telf: 6643211 - 6643216),NA,NA,-,NA,2020-03-25,Tarija,NB-SABS (D.S.0181)
20-1610-00-1038456-0-E,Gobierno Autonomo Municipal De El Puente - Trj,Bienes,CM,Dotacion De Equipos De Bioseguridad Para El Control Y Prevencion Del (Covid-19) Municipio El Puente,Contratado,NA,NA,2020-04-17,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Cira Torrez Olarte (Telf: 4613690),NA,NA,-,NA,2020-04-16,Tarija,NB-SABS (D.S.0181)
20-1610-00-1038458-0-E,Gobierno Autonomo Municipal De El Puente - Trj,Bienes,CM,Adquisicion De Trajes De Bioseguridad Para El Control Y Prevencion Del (Covid-19) - Municipio El Puente,Contratado,NA,NA,2020-04-17,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Cira Torrez Olarte (Telf: 4613690),NA,NA,-,NA,2020-04-16,Tarija,NB-SABS (D.S.0181)
20-1807-00-1038534-0-E,Gobierno Autonomo Municipal De Puerto Rurrenabaque,Bienes,CM,Adquisicion De Insumos De Bioseguridad Para La Enfermedad Del Coronavirus,Contratado,NA,NA,2020-04-20,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jaime Santos Sarabia Aliaga (Telf: 03-8922200),NA,NA,-,NA,2020-03-10,Beni,NB-SABS (D.S.0181)
20-1605-00-1038339-0-E,Gobierno Autonomo Municipal De Carapari,Bienes,CD,"Programa Prevenciã³N, Control Y Atenciã³N  Al Coronavirus (Adquisicion De Insumos De Bioseguridad Para Establecimientos De Salud)",Contratado,NA,NA,2020-04-20,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Elizabeth Viviana Aparicio Pantaleon (Telf: 046136032),NA,NA,-,NA,2020-04-02,Tarija,NB-SABS (D.S.0181)
20-1303-00-1038628-0-E,Gobierno Autonomo Municipal De Sipe Sipe,Bienes,CM,Compra De Material De Bioseguridad E Insumos Para El Hospital Sipe Sipe,Contratado,NA,NA,2020-04-21,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Leonardo Hinojosa Siles (Telf: 4381932),NA,NA,-,NA,2020-03-19,Cochabamba,NB-SABS (D.S.0181)
20-1303-00-1038636-0-E,Gobierno Autonomo Municipal De Sipe Sipe,Bienes,CM,Compra De Material De Bioseguridad E Insumos Para El Hospital Parotani,Contratado,NA,NA,2020-04-21,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Leonardo Hinojosa Siles (Telf: 4381932),NA,NA,-,NA,2020-03-19,Cochabamba,NB-SABS (D.S.0181)
20-1303-00-1038631-0-E,Gobierno Autonomo Municipal De Sipe Sipe,Bienes,CM,Compra De Material De Bioseguridad E Insumos Para El Hospital Mallco Rancho,Contratado,NA,NA,2020-04-21,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Leonardo Hinojosa Siles (Telf: 4381932),NA,NA,-,NA,2020-03-19,Cochabamba,NB-SABS (D.S.0181)
20-1303-00-1038561-0-E,Gobierno Autonomo Municipal De Sipe Sipe,Bienes,CM,Compra De Materiales E Insumos De Bioseguridad Para La Prevencion Del Coronavirus (Covid-19),Contratado,NA,NA,2020-04-21,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Leonardo Hinojosa Siles (Telf: 4381932),NA,NA,-,NA,2020-03-25,Cochabamba,NB-SABS (D.S.0181)
20-1206-00-1038581-0-E,Gobierno Autonomo Municipal De Viacha,Bienes,CM,"Prevención Control Y Atención Del Coronavirus, Seccional (Adquisición De Indumentaria De Bioseguridad)",Contratado,NA,NA,2020-04-21,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Luis Espinoza Yujra (Telf: 2800006),NA,NA,-,NA,2020-04-13,La Paz,NB-SABS (D.S.0181)
20-1301-00-1038657-0-E,Gobierno Autonomo Municipal De Cochabamba,Servicios Generales,CM,Contratacion De Imprenta Para Elaborar Cajas De Bioseguridad Para Los Centros De Salud De La Red Cercado,Contratado,NA,NA,2020-04-22,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Hamel Let Jacinto Ossa Lozada (Telf: 4258103- 4425810-4258030),NA,NA,-,NA,2020-03-25,Cochabamba,NB-SABS (D.S.0181)
20-1206-00-1038599-0-E,Gobierno Autonomo Municipal De Viacha,Bienes,CM,"Prevension Control Y Atencion Del Coronavirus, Seccional (Adquisicion De Insumos De Bioseguridad)",Contratado,NA,NA,2020-04-22,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jose Luis Espinoza Yujra (Telf: 2800006),NA,NA,-,NA,2020-04-13,La Paz,NB-SABS (D.S.0181)
20-1607-00-1038854-0-E,Gobierno Autonomo Municipal De Uriondo (Concepcion),Bienes,CM,"Prevencion ,Control Y Atencion Al Coronavirus -Material De Proteccion Y Bioseguridad Para Los Establecimientos De Salud Del Municipio",Contratado,NA,NA,2020-04-23,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Ruth Peralta Jimenez (Telf: 6651052),NA,NA,-,NA,2020-04-02,Tarija,NB-SABS (D.S.0181)
20-1601-00-1039033-0-E,Gobierno Autonomo Municipal De Tarija,Bienes,CD,Adquisicion De Productos De Bioseguridad,Contratado,NA,NA,2020-04-27,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Shirley Margarzo Romero (Telf: 6643211 - 6643216),NA,NA,-,NA,2020-03-30,Tarija,NB-SABS (D.S.0181)
20-1501-00-1038985-0-E,Gobierno Autonomo Municipal De Potosi,Bienes,CD,Adquisicion De Ropa De Bioseguridad Para El Equipo De Desinfeccion Y Fumigacion Del Gamp. Por Covid - 19 (Zoonosis) - Prevencion Control Y Atencion Del Coronavirus,Contratado,NA,NA,2020-04-27,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Juan Carlos Flores Pastor (Telf: 6223140),NA,NA,-,NA,2020-04-08,Potosi,NB-SABS (D.S.0181)
