cuce,entidad,tipo_contratacion,modalidad,objeto,estado.x,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado.y,cronograma
20-0903-00-1043526-0-E,Gobierno Autónomo Departamental De Cochabamba,Bienes,CD,Adquisicion De Congelador De Baja Temperatura Para El Laboratorio Del Hospital Clinico Viedma,Contratado,NA,NA,2020-06-09,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Marianela Yujra Rengel (Telf: 4519121-4255253),NA,NA,-,NA,2020-05-12,Cochabamba,NB-SABS (D.S.0181),1,4110000,43400,CONGELADOR DE BAJA TEMPERATURA,PIEZA,1,NA,NA,IMPLELAB S.R.L,125000,125000,NA,NA,NA,Contratado,Cronograma
20-0903-00-1043530-0-E,Gobierno Autónomo Departamental De Cochabamba,Bienes,CD,Adquisicion De Congelador De Laboratorio Para El Hospital Clinico Viedma,Contratado,NA,NA,2020-06-09,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Sustento TécnicoSustento LegalContrato Modificatorio/Orden de Cambio,FORM 400FORM 250,Ver Ficha,Marianela Yujra Rengel (Telf: 4519121-4255253),NA,NA,-,NA,2020-05-12,Cochabamba,NB-SABS (D.S.0181),1,4110000,43400,CONGELADOR DE LABORATORIO,PIEZA,1,NA,NA,IMPLELAB S.R.L,77256,77256,NA,NA,NA,Contratado,Cronograma
20-0903-00-1060397-1-1,Gobierno Autónomo Departamental De Cochabamba,Bienes,ANPE,Compra De Un Congelador Para Laboratorio Clinico Central Del Instituto Gastroenterologico Boliviano Japones Gestion 2020,Contratado,No,2020-09-11,2020-09-07,1.Especificaciones Tecnicas 2.Convocatoria 3.Documento Base de Contratacion 4.Informe de la Comision/Responsable de Evaluacion 5.Res. de Adjudicacion (nota) 6.Contrato/Orden de Compra/Orden de Servicio 7.Acta o informe de recepcion definitiva,1.FORM 100 2.FORM 170 3.FORM 200 4.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=20-0903-00-1060397-1-1,Maria Amparo Villegas Herbas (Telf: 4519121-4255253),NA,NA,-,NA,NA,Cochabamba,NB-SABS (D.S.0181),1,4110000,43400,CONGELADOR,PIEZA.,1,NA,NA,VALDES MORALES ROBERTO EFRAIN,NA,NA,1,NA,NA,Contratado,Cronograma 0
20-0417-05-1068544-1-1,Caja Nacional De Salud (Regional Oruro),Bienes,ANPE,Congelador - Lab. Haig Obrero Nº4,Contratado,No,2020-10-09,2020-10-05,1.Convocatoria 2.Documento Base de Contratacion 3.Res. de Adjudicacion (nota) 4.Informe de la Comision/Responsable de Evaluacion 5.Contrato/Orden de Compra/Orden de Servicio 6.Acta o informe de recepcion definitiva,1.FORM 100 2.FORM 170 3.FORM 200 4.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=20-0417-05-1068544-1-1,Roxana Quispe Cortez (Telf: 5251480),NA,NA,-,NA,NA,Oruro,NB-SABS (D.S.0181),1,4110000,43400,CONGELADOR,EQUIPO,NA,NA,NA,IMPORTACION Y DISTRIBUCION DE INSUMOS DE LABORATORIO Y FARMACOS ILABFARMA S.R.L.,NA,NA,NA,NA,NA,Contratado,Cronograma 0
20-0417-05-1071607-1-1,Caja Nacional De Salud (Regional Oruro),Bienes,ANPE,Congelador De Plasma - Unidad Transfusional,Contratado,No,2020-10-20,2020-10-14,1.Documento Base de Contratacion 2.Convocatoria 3.Res. de Adjudicacion (nota) 4.Informe de la Comision/Responsable de Evaluacion 5.Contrato/Orden de Compra/Orden de Servicio 6.Acta o informe de recepcion definitiva,1.FORM 100 2.FORM 170 3.FORM 200 4.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=20-0417-05-1071607-1-1,Roxana Quispe Cortez (Telf: 5251480),NA,NA,-,NA,NA,Oruro,NB-SABS (D.S.0181),1,4110000,43400,EQUIPO CONGELADOR DE PLASMA,EQUIPO,NA,NA,NA,EMPRESA  SUMINISTRO DEL LABORATORIO CIENTIFICO S.R.L.,NA,NA,NA,NA,NA,Contratado,Cronograma 0
20-0417-03-1071819-1-1,Caja Nacional De Salud Regional Santa Cruz,Bienes,ANPE,01 Equipo Descongelador De Plasma-Servicio De Transfusion -Hospital Obrero C.N.S.,Contratado,No,2020-10-21,2020-10-15,1.Convocatoria 2.Documento Base de Contratacion 3.Res. de Adjudicacion (nota) 4.Informe de la Comision/Responsable de Evaluacion 5.Contrato/Orden de Compra/Orden de Servicio 6.Acta o informe de recepcion definitiva,1.FORM 100 2.FORM 170 3.FORM 200 4.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=20-0417-03-1071819-1-1,Maria Fernanda Alvarez Villegas (Telf: 3393354),NA,NA,-,NA,NA,Santa Cruz,NB-SABS (D.S.0181),1,4110000,43400,DESCONGELADOR DE PLASMA,EQUIPO,NA,NA,NA,MALTA&ASOCIADOS  S.R.L.,NA,NA,NA,NA,NA,Contratado,Cronograma 0
20-0141-00-1072793-1-1,Universidad Mayor De San Simon Umss,Bienes,ANPP,"Adquisicion De Termociclador Pcr En Tiempo Real, Extractor Automatizado De Acidos Nucleicos, Cabina De Bioseguridad Clase Ii Tipo A2, Ultracongelador Para El Laboratorio De Bioloia Molecular De  La Facultad De Ciencias Farmaceuticas Y Bioquimicas.",Contratado,No,2020-11-03,2020-10-21,1.Documento Base de Contratacion 2.Convocatoria 3.Res. de Adjudicacion (nota) 4.Informe de la Comision/Responsable de Evaluacion 5.Resolución/Nota/Documento que autorice la Ampliacion 6.Contrato/Orden de Compra/Orden de Servicio 7.Contrato/Orden de Compra/Orden de Servicio 8.Contrato/Orden de Compra/Orden de Servicio 9.Ver mas...,1.FORM 100 2.FORM 170 3.FORM 100-E 4.FORM 200 5.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=20-0141-00-1072793-1-1,Juana Nancy Eulate Soliz (Telf: 4524773),NA,NA,-,NA,NA,Cochabamba,NB-SABS (D.S.0181),1,4110000,43400,Termociclador PCR en tiempo real,Equipo,1,NA,NA,COMPAÑIA DE SUMINISTROS TECNICOS COSUTEC SRL,NA,NA,1,NA,NA,Contratado,Cronograma 1
20-0141-00-1072793-1-1,Universidad Mayor De San Simon Umss,Bienes,ANPP,"Adquisicion De Termociclador Pcr En Tiempo Real, Extractor Automatizado De Acidos Nucleicos, Cabina De Bioseguridad Clase Ii Tipo A2, Ultracongelador Para El Laboratorio De Bioloia Molecular De  La Facultad De Ciencias Farmaceuticas Y Bioquimicas.",Contratado,No,2020-11-03,2020-10-21,1.Documento Base de Contratacion 2.Convocatoria 3.Res. de Adjudicacion (nota) 4.Informe de la Comision/Responsable de Evaluacion 5.Resolución/Nota/Documento que autorice la Ampliacion 6.Contrato/Orden de Compra/Orden de Servicio 7.Contrato/Orden de Compra/Orden de Servicio 8.Contrato/Orden de Compra/Orden de Servicio 9.Ver mas...,1.FORM 100 2.FORM 170 3.FORM 100-E 4.FORM 200 5.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=20-0141-00-1072793-1-1,Juana Nancy Eulate Soliz (Telf: 4524773),NA,NA,-,NA,NA,Cochabamba,NB-SABS (D.S.0181),2,4110000,43400,Ultracongelador,Equipo,1,NA,NA,ESPINOZA  ELBA,NA,NA,1,NA,NA,Contratado,Cronograma 1
20-0141-00-1072793-1-1,Universidad Mayor De San Simon Umss,Bienes,ANPP,"Adquisicion De Termociclador Pcr En Tiempo Real, Extractor Automatizado De Acidos Nucleicos, Cabina De Bioseguridad Clase Ii Tipo A2, Ultracongelador Para El Laboratorio De Bioloia Molecular De  La Facultad De Ciencias Farmaceuticas Y Bioquimicas.",Contratado,No,2020-11-03,2020-10-21,1.Documento Base de Contratacion 2.Convocatoria 3.Res. de Adjudicacion (nota) 4.Informe de la Comision/Responsable de Evaluacion 5.Resolución/Nota/Documento que autorice la Ampliacion 6.Contrato/Orden de Compra/Orden de Servicio 7.Contrato/Orden de Compra/Orden de Servicio 8.Contrato/Orden de Compra/Orden de Servicio 9.Ver mas...,1.FORM 100 2.FORM 170 3.FORM 100-E 4.FORM 200 5.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=20-0141-00-1072793-1-1,Juana Nancy Eulate Soliz (Telf: 4524773),NA,NA,-,NA,NA,Cochabamba,NB-SABS (D.S.0181),3,4110000,43400,Cabina de Bioseguridad clase II Tipo A2,Equipo,1,NA,NA,COMPAÑIA DE SUMINISTROS TECNICOS COSUTEC SRL,NA,NA,1,NA,NA,Contratado,Cronograma 1
20-0141-00-1072793-1-1,Universidad Mayor De San Simon Umss,Bienes,ANPP,"Adquisicion De Termociclador Pcr En Tiempo Real, Extractor Automatizado De Acidos Nucleicos, Cabina De Bioseguridad Clase Ii Tipo A2, Ultracongelador Para El Laboratorio De Bioloia Molecular De  La Facultad De Ciencias Farmaceuticas Y Bioquimicas.",Contratado,No,2020-11-03,2020-10-21,1.Documento Base de Contratacion 2.Convocatoria 3.Res. de Adjudicacion (nota) 4.Informe de la Comision/Responsable de Evaluacion 5.Resolución/Nota/Documento que autorice la Ampliacion 6.Contrato/Orden de Compra/Orden de Servicio 7.Contrato/Orden de Compra/Orden de Servicio 8.Contrato/Orden de Compra/Orden de Servicio 9.Ver mas...,1.FORM 100 2.FORM 170 3.FORM 100-E 4.FORM 200 5.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=20-0141-00-1072793-1-1,Juana Nancy Eulate Soliz (Telf: 4524773),NA,NA,-,NA,NA,Cochabamba,NB-SABS (D.S.0181),4,4110000,43400,Extractor automatizado de ácidos nucleicos,Equipo,1,NA,NA,VALDES MORALES ROBERTO EFRAIN,NA,NA,1,NA,NA,Contratado,Cronograma 1
20-0141-00-1072793-1-1,Universidad Mayor De San Simon Umss,Bienes,ANPP,"Adquisicion De Termociclador Pcr En Tiempo Real, Extractor Automatizado De Acidos Nucleicos, Cabina De Bioseguridad Clase Ii Tipo A2, Ultracongelador Para El Laboratorio De Bioloia Molecular De  La Facultad De Ciencias Farmaceuticas Y Bioquimicas.",Contratado,No,2020-11-03,2020-10-21,1.Documento Base de Contratacion 2.Convocatoria 3.Res. de Adjudicacion (nota) 4.Informe de la Comision/Responsable de Evaluacion 5.Resolución/Nota/Documento que autorice la Ampliacion 6.Contrato/Orden de Compra/Orden de Servicio 7.Contrato/Orden de Compra/Orden de Servicio 8.Contrato/Orden de Compra/Orden de Servicio 9.Ver mas...,1.FORM 100 2.FORM 170 3.FORM 100-E 4.FORM 200 5.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=20-0141-00-1072793-1-1,Juana Nancy Eulate Soliz (Telf: 4524773),NA,NA,-,NA,NA,Cochabamba,NB-SABS (D.S.0181),1,4110000,43400,Termociclador PCR en tiempo real,Equipo,NA,NA,NA,COMPAÑIA DE SUMINISTROS TECNICOS COSUTEC SRL,NA,NA,NA,NA,NA,Contratado,Cronograma 1
20-0141-00-1072793-1-1,Universidad Mayor De San Simon Umss,Bienes,ANPP,"Adquisicion De Termociclador Pcr En Tiempo Real, Extractor Automatizado De Acidos Nucleicos, Cabina De Bioseguridad Clase Ii Tipo A2, Ultracongelador Para El Laboratorio De Bioloia Molecular De  La Facultad De Ciencias Farmaceuticas Y Bioquimicas.",Contratado,No,2020-11-03,2020-10-21,1.Documento Base de Contratacion 2.Convocatoria 3.Res. de Adjudicacion (nota) 4.Informe de la Comision/Responsable de Evaluacion 5.Resolución/Nota/Documento que autorice la Ampliacion 6.Contrato/Orden de Compra/Orden de Servicio 7.Contrato/Orden de Compra/Orden de Servicio 8.Contrato/Orden de Compra/Orden de Servicio 9.Ver mas...,1.FORM 100 2.FORM 170 3.FORM 100-E 4.FORM 200 5.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=20-0141-00-1072793-1-1,Juana Nancy Eulate Soliz (Telf: 4524773),NA,NA,-,NA,NA,Cochabamba,NB-SABS (D.S.0181),2,4110000,43400,Ultracongelador,Equipo,NA,NA,NA,ESPINOZA  ELBA,NA,NA,NA,NA,NA,Contratado,Cronograma 1
20-0141-00-1072793-1-1,Universidad Mayor De San Simon Umss,Bienes,ANPP,"Adquisicion De Termociclador Pcr En Tiempo Real, Extractor Automatizado De Acidos Nucleicos, Cabina De Bioseguridad Clase Ii Tipo A2, Ultracongelador Para El Laboratorio De Bioloia Molecular De  La Facultad De Ciencias Farmaceuticas Y Bioquimicas.",Contratado,No,2020-11-03,2020-10-21,1.Documento Base de Contratacion 2.Convocatoria 3.Res. de Adjudicacion (nota) 4.Informe de la Comision/Responsable de Evaluacion 5.Resolución/Nota/Documento que autorice la Ampliacion 6.Contrato/Orden de Compra/Orden de Servicio 7.Contrato/Orden de Compra/Orden de Servicio 8.Contrato/Orden de Compra/Orden de Servicio 9.Ver mas...,1.FORM 100 2.FORM 170 3.FORM 100-E 4.FORM 200 5.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=20-0141-00-1072793-1-1,Juana Nancy Eulate Soliz (Telf: 4524773),NA,NA,-,NA,NA,Cochabamba,NB-SABS (D.S.0181),3,4110000,43400,Cabina de Bioseguridad clase II Tipo A2,Equipo,NA,NA,NA,COMPAÑIA DE SUMINISTROS TECNICOS COSUTEC SRL,NA,NA,NA,NA,NA,Contratado,Cronograma 1
20-0141-00-1072793-1-1,Universidad Mayor De San Simon Umss,Bienes,ANPP,"Adquisicion De Termociclador Pcr En Tiempo Real, Extractor Automatizado De Acidos Nucleicos, Cabina De Bioseguridad Clase Ii Tipo A2, Ultracongelador Para El Laboratorio De Bioloia Molecular De  La Facultad De Ciencias Farmaceuticas Y Bioquimicas.",Contratado,No,2020-11-03,2020-10-21,1.Documento Base de Contratacion 2.Convocatoria 3.Res. de Adjudicacion (nota) 4.Informe de la Comision/Responsable de Evaluacion 5.Resolución/Nota/Documento que autorice la Ampliacion 6.Contrato/Orden de Compra/Orden de Servicio 7.Contrato/Orden de Compra/Orden de Servicio 8.Contrato/Orden de Compra/Orden de Servicio 9.Ver mas...,1.FORM 100 2.FORM 170 3.FORM 100-E 4.FORM 200 5.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=20-0141-00-1072793-1-1,Juana Nancy Eulate Soliz (Telf: 4524773),NA,NA,-,NA,NA,Cochabamba,NB-SABS (D.S.0181),4,4110000,43400,Extractor automatizado de ácidos nucleicos,Equipo,NA,NA,NA,VALDES MORALES ROBERTO EFRAIN,NA,NA,NA,NA,NA,Contratado,Cronograma 1
20-0417-09-1082519-1-1,Caja Nacional De Salud - Regional La Paz,Bienes,ANPE,2 Equ. Congelador Grado Medico De Laboratorio Para Reactivos Y Muestras Biologicas Para Covid-19,Contratado,No,2020-11-18,2020-11-12,1.Documento Base de Contratacion 2.Convocatoria 3.Res. de Adjudicacion (nota) 4.Informe de la Comision/Responsable de Evaluacion 5.Contrato/Orden de Compra/Orden de Servicio 6.Acta o informe de recepcion definitiva,1.FORM 100 2.FORM 170 3.FORM 200 4.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=20-0417-09-1082519-1-1,Brayan Luis Cabrera Vera (Telf: 2-901777),NA,NA,-,NA,NA,La Paz,NB-SABS (D.S.0181),1,4110000,43400,CONGELADOR GRADO MEDICO DE LABORATORIO PARA REACTIVOS Y MUESTRAS BIOLOGICAS PARA COVID-19,EQU,NA,NA,NA,IMPORTACION Y DISTRIBUCION DE INSUMOS DE LABORATORIO Y FARMACOS ILABFARMA S.R.L.,NA,NA,NA,NA,NA,Contratado,Cronograma 0
