cuce,entidad,tipo_contratacion,modalidad,objeto,estado.x,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado.y,cronograma
20-0046-21-1034322-0-E,Seguro Social Universitario - Cochabamba,Bienes,CM,Aquisicion De Equipamiento E Insumos De Proteccion Coronavirus,Contratado,,,2020-03-10,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Favio Manuel Soria Galvarro Villarroel (Telf: 4226772),,,-,,2020-02-28,Cochabamba,NB-SABS (D.S.0181),1,4217000,39900,PRODUCTOS E INSUMOS DE PROTECCION CORONAVIRUS,GLOBAL,1,,,SALUR S.R.L.,38590,38590,1,38590,38590,Contratado,Cronograma
20-1805-00-1037421-0-E,Gobierno Autonomo Municipal De Guayaramerin,Bienes,EM,Asdquisicion De Emergencia De Alimentos Perecibles Y No Perecibles Para La Emergencia Sanitaria Para La Prevencion Control Y Atencion Del Coronavirus En El Municipio De Guayaramerin Correspondiente A La Gestion 2020,Contratado,,,2020-03-23,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Fabiola Aliaga Anara (Telf: 8553628),,,-,,2020-03-20,Beni,NB-SABS (D.S.0181),1,5019000,31120,ASDQUISICION DE EMERGENCIA DE ALIMENTOS PERECIBLES Y NO PERECIBLES PARA LA EMERGENCIA SANITARIA PARA LA PREVENCION CONTROL Y ATENCION DEL CORONAVIRUS EN EL MUNICIPIO DE GUAYARAMERIN CORRESPONDIENTE A,GLOBAL,1,,,MAIMURA SIERRA ANGEL ANTONIO,50000,50000,1,50000,50000,Contratado,Cronograma
20-1805-00-1037414-0-E,Gobierno Autonomo Municipal De Guayaramerin,Bienes,EM,"1ra Adquisicion De Emergencia De Equiposmedicos E Instrumental Menor Medico Para La Emergencia Sanitaria Para La Prevencion, Control Y Atencion Del Coronavirus En El Municipio De Guayaramerin Correspondiente A La Gestion 2020",Contratado,,,2020-03-23,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitivaActa o informe de recepcion definitivaActa o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Fabiola Aliaga Anara (Telf: 8553628),,,-,,2020-03-20,Beni,NB-SABS (D.S.0181),1,4110000,43400,"1RA ADQUISICION DE EMERGENCIA DE EQUIPOSMEDICOS E INSTRUMENTAL MENOR MEDICO PARA LA EMERGENCIA SANITARIA PARA LA PREVENCION, CONTROL Y ATENCION DEL CORONAVIRUS EN EL MUNICIPIO DE GUAYARAMERIN CORRESPO",GLOBAL,1,,,VARGAS CANO REYNALDO GASPAR,51300,51300,1,51300,51300,Contratado,Cronograma
20-1805-00-1037414-0-E,Gobierno Autonomo Municipal De Guayaramerin,Bienes,EM,"1ra Adquisicion De Emergencia De Equiposmedicos E Instrumental Menor Medico Para La Emergencia Sanitaria Para La Prevencion, Control Y Atencion Del Coronavirus En El Municipio De Guayaramerin Correspondiente A La Gestion 2020",Contratado,,,2020-03-23,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitivaActa o informe de recepcion definitivaActa o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Fabiola Aliaga Anara (Telf: 8553628),,,-,,2020-03-20,Beni,NB-SABS (D.S.0181),2,4229000,39400,"1RA ADQUISICION DE EMERGENCIA DE EQUIPOSMEDICOS E INSTRUMENTAL MENOR MEDICO PARA LA EMERGENCIA SANITARIA PARA LA PREVENCION, CONTROL Y ATENCION DEL CORONAVIRUS EN EL MUNICIPIO DE GUAYARAMERIN CORRESPO",GLOBAL,1,,,VARGAS CANO REYNALDO GASPAR,50000,50000,1,50000,50000,Contratado,Cronograma
20-1805-00-1037410-0-E,Gobierno Autonomo Municipal De Guayaramerin,Bienes,EM,"2da Adquisiscion De Emergencia De Equipos Medicos Para La Emergencia Sanitaria Para La Prevencion, Control Y Atencion Del Coronavirus En El Municipio De Guayaramerin Correspondiente A La Gestion 2020",Contratado,,,2020-03-23,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Fabiola Aliaga Anara (Telf: 8553628),,,-,,2020-03-20,Beni,NB-SABS (D.S.0181),1,4214000,43400,"2DA ADQUISISCION DE EMERGENCIA DE EQUIPOS MEDICOS PARA LA EMERGENCIA SANITARIA PARA LA PREVENCION, CONTROL Y ATENCION DEL CORONAVIRUS EN EL MUNICIPIO DE GUAYARAMERIN CORRESPONDIENTE A LA GESTION 2020",GLOBAL,1,,,RAMIREZ ZAMBRANO RONY,98700,98700,1,98700,98700,Contratado,Cronograma
20-1805-00-1037405-0-E,Gobierno Autonomo Municipal De Guayaramerin,Bienes,EM,"Adquisicion De Emergencia De Productos Quimicos Y Farmaceuticos (Medicamentos E Insumos ) Para La Emergencia Sanitaria Para La Prevencion, Control Y Atencion Del Coronavirus En El Municipio De Guayaramerin Correspondiente A La Gestion 2020",Contratado,,,2020-03-23,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Fabiola Aliaga Anara (Telf: 8553628),,,-,,2020-03-20,Beni,NB-SABS (D.S.0181),1,5121000,34200,"ADQUISICION DE EMERGENCIA DE PRODUCTOS QUIMICOS Y FARMACEUTICOS (MEDICAMENTOS E INSUMOS ) PARA LA EMERGENCIA SANITARIA PARA LA PREVENCION, CONTROL Y ATENCION DEL CORONAVIRUS EN EL MUNICIPIO DE GUAYAR",GLOBAL,1,,,CORDERO GUARI LUIS ALBERTO,120000,120000,1,120000,120000,Contratado,Cronograma
20-1805-00-1037428-0-E,Gobierno Autonomo Municipal De Guayaramerin,Bienes,EM,"Adquisicion De Material De Escritorio Y Oficina Para La Emergencia Sanitaria Para La Prevencion, Control Y Atencion Del Coronavirus Correspondiente A La Gestion 2020",Contratado,,,2020-03-23,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Fabiola Aliaga Anara (Telf: 8553628),,,-,,2020-03-20,Beni,NB-SABS (D.S.0181),1,4411000,39500,"ADQUISICION DE MATERIAL DE ESCRITORIO Y OFICINA PARA LA EMERGENCIA SANITARIA PARA LA PREVENCION, CONTROL Y ATENCION DEL CORONAVIRUS CORRESPONDIENTE A LA GESTION 2020",GLOBAL,1,,,MAIMURA SIERRA FREDDY HIROSHI,30000,30000,1,30000,30000,Contratado,Cronograma
20-1805-00-1037457-0-E,Gobierno Autonomo Municipal De Guayaramerin,Bienes,EM,Adquisicion De Emergencia De Material De Limpieza E Higiene Para La Emergencia Sanitria Para La Prevencion Control Y Atencion Del Coronavirus Correspondiente A La Gestion 2020,Contratado,,,2020-03-24,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Fabiola Aliaga Anara (Telf: 8553628),,,-,,2020-03-20,Beni,NB-SABS (D.S.0181),1,4713000,39100,ADQUISICION DE EMERGENCIA DE MATERIAL DE LIMPIEZA E HIGIENE PARA LA EMERGENCIA SANITRIA PARA LA PREVENCION CONTROL Y ATENCION DEL CORONAVIRUS CORRESPONDIENTE A LA GESTION 2020,GLOBAL,1,,,TORRICO MERUVIA VLADIMIR ISAIAS,30000,30000,1,30000,30000,Contratado,Cronograma
20-1805-00-1037462-0-E,Gobierno Autonomo Municipal De Guayaramerin,Bienes,EM,"Adquisicion De Productos De Minerales No Metalicos Y Plasticos Para La Emergencia Sanitaria Para La Prevencion, Control Y Atencion Del Coronavirus Correspondiente A La Gestion 2020",Contratado,,,2020-03-24,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Fabiola Aliaga Anara (Telf: 8553628),,,-,,2020-03-20,Beni,NB-SABS (D.S.0181),1,4713000,34500,"ADQUISICION DE PRODUCTOS DE MINERALES NO METALICOS Y PLASTICOS PARA LA EMERGENCIA SANITARIA PARA LA PREVENCION, CONTROL Y ATENCION DEL CORONAVIRUS CORRESPONDIENTE A LA GESTION 2020",GLOBAL,1,,,TORRICO MERUVIA VLADIMIR ISAIAS,50000,50000,1,50000,50000,Contratado,Cronograma
20-4601-00-1037552-0-E,Gobierno Autonomo Regional Del Gran Chaco,Bienes,CM,"Adquisicion De Instrumental Medico, Insumos Y Equipamiento Medico Para La Sala De Aislamiento En El Hospital Fray Quebracho Para La Prevencion, Control Y Atencion Del Coronavirus (Covid-19)",Contratado,,,2020-03-26,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Yessica Pamela  Torrez (Telf: 46822041),,,-,,2020-03-23,Tarija,NB-SABS (D.S.0181),1,4217000,39400,"ADQUISICION DE INSTRUMENTAL MEDICO, INSUMOS Y EQUIPAMIENTO MEDICO PARA LA SALA DE AISLAMIENTO EN EL HOSPITAL FRAY QUEBRACHO PARA LA PREVENCION, CONTROL Y ATENCION DEL CORONAVIRUS (COVID-19)",INSTRUM ENTAL MEDICO,1,,,DISTRIBUIDORA SAN LUCAS TARIJA S.R.L.,36310,36310,36310,1,36310,Contratado,Cronograma
