cuce,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado,cronograma
19-0417-03-1034294-0-E,1,4216000,43400,10 PZAS. TUBO DE OXIGENO - DPTO DE PEDIATRIA HOSP. MAT. INF. C.N.S.,PIEZAS,10,,,ARAUCO ROMERO JIMMY JUNIOR,2300,23000,10,2300,23000,Contratado,Cronograma
19-0417-03-1036590-0-E,1,4217000,34200,300 PZA. APLICADOR DE CLORHEXIDINA AL 2% MAS ALCOHOL AL 70% DE 35 ML,PIEZA,300,,,DISTRIBUIDORA GUTIERREZ & CIA SRL,110,33000,300,110,33000,Contratado,Cronograma
19-0417-03-1039991-0-E,1,4217000,39800,131 PZA. MANOMETROS DE OXIGENO,PIEZA,131,,,ARAUCO ROMERO JIMMY JUNIOR,380,49780,131,380,49780,Contratado,Cronograma
19-0417-03-1043195-0-E,1,4216000,39800,01 KIT REPUESTO Y ACCESORIOS (DIGITILIZADOR PHILIPS PCR ELEVA COMPACT)- SERVICIO IMAGENOLOGIA HOSPITAL VILLA 1 DE MAYO C.N.S.,KIT,1,,,SOCIEDAD COMERCIAL E INDUSTRIAL HANSA LIMITADA,45148,45148,1,45148,45148,Contratado,Cronograma
19-0902-43-1035196-0-E,1,4214000,39400,REGULADOR DE OXIGENO PARA TUBO DE OXIGENO DE 2M3,PIEZA,15,,,PRAXAIR BOLIVIA S.R.L.,750,11250,15,750,11250,Contratado,Cronograma
19-0902-43-1035196-0-E,2,4214000,39400,MANOMETRO DE OXIGENO DE BAJO FLUJO DE 0-15 LTRS/MIN PARA TUBO DE OXIGENO 6M3,PIEZA,6,,,PRAXAIR BOLIVIA S.R.L.,1150,6900,6,1150,6900,Contratado,Cronograma
19-0902-43-1035196-0-E,3,4214000,39400,HUMIDIFICADOR DE ROSCA METALICA Y PITON DE PLASTICO,PIEZA,154,,,PRAXAIR BOLIVIA S.R.L.,80,12320,154,80,12320,Contratado,Cronograma
19-0902-43-1035196-0-E,4,4214000,39400,FLUJOMETROS DE PARED PARA OXIGENO (OHMEDA) DE 0-15 L/MIN,PIEZA,59,,,PRAXAIR BOLIVIA S.R.L.,330,19470,59,330,19470,Contratado,Cronograma
19-1335-00-1042832-0-E,1,5125000,34200,"IVOMEC GOL DE 500 ML (INVERMECTINA 3,15%)",FRASCO S,1,,,CHOQUE FLORES ROBERT,650,650,1,650,650,Contratado,Cronograma
19-1335-00-1042832-0-E,2,5125000,34200,JERINGAS DESCARTABLE DE 10 ML X 100 UNID.,CAJAS,4,,,CHOQUE FLORES ROBERT,110,440,4,110,440,Contratado,Cronograma
19-1335-00-1042832-0-E,3,5125000,34200,PISTOLA HOPPNER DE 50 MLD.,CAJAS,4,,,CHOQUE FLORES ROBERT,780,3120,4,780,3120,Contratado,Cronograma
19-1335-00-1042832-0-E,4,5125000,34200,GUANTES DE NITRILO TALLA M X 100 UNID. D.,CAJAS,2,,,CHOQUE FLORES ROBERT,80,160,2,80,160,Contratado,Cronograma
19-1335-00-1042832-0-E,5,5125000,34200,"TERMOS P/VACUNAS DE 2,5 LT. CON 4 PERRITOS",PIEZAS,10,,,CHOQUE FLORES ROBERT,530,5300,10,530,5300,Contratado,Cronograma
19-1335-00-1042832-0-E,6,5125000,34200,IVOMEC 1% DE 500 ML (INVERMECTINA 1%),FRASCO S,2,,,CHOQUE FLORES ROBERT,585,1170,2,585,1170,Contratado,Cronograma
