cuce,entidad,tipo_contratacion,modalidad,objeto,estado,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1302-00-1036236-0-E,Gobierno Autonomo Municipal De Quillacollo,Bienes,CM,Compra Urgente De Material De Bioseguridad Covid-19 Para El Personal Del Hospital Dr. Benigno Sanchez De Quillacollo,Contratado,NA,NA,2020-03-17,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Claudia Samira Ortega Flores (Telf: 4260095),NA,NA,-,NA,2020-03-11,Cochabamba,NB-SABS (D.S.0181)
20-4601-00-1037552-0-E,Gobierno Autonomo Regional Del Gran Chaco,Bienes,CM,"Adquisicion De Instrumental Medico, Insumos Y Equipamiento Medico Para La Sala De Aislamiento En El Hospital Fray Quebracho Para La Prevencion, Control Y Atencion Del Coronavirus (Covid-19)",Contratado,NA,NA,2020-03-26,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Yessica Pamela  Torrez (Telf: 46822041),NA,NA,-,NA,2020-03-23,Tarija,NB-SABS (D.S.0181)
20-1302-00-1037747-0-E,Gobierno Autonomo Municipal De Quillacollo,Bienes,CM,Compra De Barbijos Descartables Por Emergencia Para Prevencion Del Covid-19 Para El Hospital Benigno Sanchez,Contratado,NA,NA,2020-04-01,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Luis Gonzalo Iriarte Aranibar (Telf: 4260095),NA,NA,-,NA,2020-03-24,Cochabamba,NB-SABS (D.S.0181)
20-1701-00-1037842-0-E,Gobierno Autonomo Municipal De Santa Cruz De La Sierra,Servicios Generales,CM,"Servicio De Transporte De Emergencia Por Cuarentena Covid-19 Para El Personal Del Hospital Municipal Plan 3000, Sms",Contratado,NA,NA,2020-04-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rosario Ingrid Vega Rojas (Telf: Ver Convocatoria y/o DBC. ),NA,NA,-,NA,2020-03-27,Santa Cruz,NB-SABS (D.S.0181)
20-1701-00-1037835-0-E,Gobierno Autonomo Municipal De Santa Cruz De La Sierra,Servicios Generales,CM,"Servicio De Transporte De Emergencia Por Cuarentena Covid-19 Para El Personal De La Red De Salud Centro (Zona A), Sms",Contratado,NA,NA,2020-04-03,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rosario Ingrid Vega Rojas (Telf: Ver Convocatoria y/o DBC. ),NA,NA,-,NA,2020-03-27,Santa Cruz,NB-SABS (D.S.0181)
20-1701-00-1037837-0-E,Gobierno Autonomo Municipal De Santa Cruz De La Sierra,Servicios Generales,CM,"Servicio De Transporte De Emergencia Por Cuarentena Covid-19 Para El Personal De La Red De Salud Este (Zona A), Sms",Contratado,NA,NA,2020-04-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rosario Ingrid Vega Rojas (Telf: Ver Convocatoria y/o DBC. ),NA,NA,-,NA,2020-03-27,Santa Cruz,NB-SABS (D.S.0181)
20-1606-00-1037832-0-E,Gobierno Autonomo Municipal De Villamontes,Bienes,EM,Adquisicion De Viveres Para Seguridad Alimentaria Del Municipio De Villa Montes En Atencion A La Emergencia Sanitaria Covid - 19 Y Cuarentena Nacional,Contratado,NA,NA,2020-04-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Heinor Chuquimia Costano (Telf: 6722379 / 6722993),NA,NA,-,NA,2020-03-31,Tarija,NB-SABS (D.S.0181)
20-1701-00-1037840-0-E,Gobierno Autonomo Municipal De Santa Cruz De La Sierra,Servicios Generales,CM,"Servicio De Transporte De Emergencia Por Cuarentena Covid-19 Para El Personal Del Hospital Municipal Bajio Del Oriente, Sms",Contratado,NA,NA,2020-04-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rosario Ingrid Vega Rojas (Telf: Ver Convocatoria y/o DBC. ),NA,NA,-,NA,2020-03-27,Santa Cruz,NB-SABS (D.S.0181)
20-1701-00-1037848-0-E,Gobierno Autonomo Municipal De Santa Cruz De La Sierra,Servicios Generales,CM,"Servicio De Transporte De Emergencia Por Cuarentena Covid-19 Para El Personal De La Red De Salud Norte (Zona B), Sms",Contratado,NA,NA,2020-04-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rosario Ingrid Vega Rojas (Telf: Ver Convocatoria y/o DBC. ),NA,NA,-,NA,2020-03-27,Santa Cruz,NB-SABS (D.S.0181)
20-1701-00-1037843-0-E,Gobierno Autonomo Municipal De Santa Cruz De La Sierra,Servicios Generales,CM,"Servicio De Transporte De Emergencia Por Cuarentena Covid-19 Para El Personal De La Red De Salud Centro (Zona B), Sms",Contratado,NA,NA,2020-04-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rosario Ingrid Vega Rojas (Telf: Ver Convocatoria y/o DBC. ),NA,NA,-,NA,2020-03-27,Santa Cruz,NB-SABS (D.S.0181)
20-1701-00-1037844-0-E,Gobierno Autonomo Municipal De Santa Cruz De La Sierra,Servicios Generales,CM,"Servicio De Transporte De Emergencia Por Cuarentena Covid-19 Para El Personal De La Red De Salud Este (Zona B), Sms",Contratado,NA,NA,2020-04-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rosario Ingrid Vega Rojas (Telf: Ver Convocatoria y/o DBC. ),NA,NA,-,NA,2020-03-27,Santa Cruz,NB-SABS (D.S.0181)
20-1701-00-1037845-0-E,Gobierno Autonomo Municipal De Santa Cruz De La Sierra,Servicios Generales,CM,"Servicio De Transporte De Emergencia Por Cuarentena Covid-19 Para El Personal Del Hospital Municipal Frances, Sms",Contratado,NA,NA,2020-04-03,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rosario Ingrid Vega Rojas (Telf: Ver Convocatoria y/o DBC. ),NA,NA,-,NA,2020-03-27,Santa Cruz,NB-SABS (D.S.0181)
20-1701-00-1037849-0-E,Gobierno Autonomo Municipal De Santa Cruz De La Sierra,Servicios Generales,CM,"Servicio De Transporte De Emergencia Por Cuarentena Covid-19 Para El Personal De La Red De Salud Sur (Distrito 9 Y 10), Sms",Contratado,NA,NA,2020-04-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rosario Ingrid Vega Rojas (Telf: Ver Convocatoria y/o DBC. ),NA,NA,-,NA,2020-03-30,Santa Cruz,NB-SABS (D.S.0181)
20-1701-00-1037850-0-E,Gobierno Autonomo Municipal De Santa Cruz De La Sierra,Servicios Generales,CM,"Servicio De Transporte De Emergencia Por Cuarentena Covid-19 Para El Personal De La Red De Salud Sur (Distrito 12 Y 13), Sms",Contratado,NA,NA,2020-04-03,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rosario Ingrid Vega Rojas (Telf: Ver Convocatoria y/o DBC. ),NA,NA,-,NA,2020-03-30,Santa Cruz,NB-SABS (D.S.0181)
20-1701-00-1037831-0-E,Gobierno Autonomo Municipal De Santa Cruz De La Sierra,Servicios Generales,CM,"Servicio De Transporte De Emergencia Por Cuarentena Covid-19 Para El Personal De La Red De Salud Norte (Zona A), Sms",Contratado,NA,NA,2020-04-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rosario Ingrid Vega Rojas (Telf: Ver Convocatoria y/o DBC. ),NA,NA,-,NA,2020-03-27,Santa Cruz,NB-SABS (D.S.0181)
20-1701-00-1037829-0-E,Gobierno Autonomo Municipal De Santa Cruz De La Sierra,Servicios Generales,CM,"Servicio De Transporte De Emergencia Por Cuarentena Covid-19 Para El Personal Del Hospital Municipal Villa 1ro De Mayo,Sms",Contratado,NA,NA,2020-04-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rosario Ingrid Vega Rojas (Telf: Ver Convocatoria y/o DBC. ),NA,NA,-,NA,2020-03-27,Santa Cruz,NB-SABS (D.S.0181)
20-4601-00-1037880-0-E,Gobierno Autonomo Regional Del Gran Chaco,Bienes,CM,"Adquisicion De 8 Camas Hospitalarias De Dos Movimientos Para La Sala De Aislamiento Del Hospital Fray Quebracho Para La Prevencion, Control Y Atencion Del Coronavirus (Covid - 19)",Contratado,NA,NA,2020-04-06,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Yessica Pamela  Torrez (Telf: 46822041),NA,NA,-,NA,2020-03-27,Tarija,NB-SABS (D.S.0181)
20-1606-00-1037879-0-E,Gobierno Autonomo Municipal De Villamontes,Bienes,CM,Adqusicion De Emergencia De Insumos Medicos Coronavirus Covid - 19 Gestion 2020 Municipio De Villa Montes,Contratado,NA,NA,2020-04-06,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Heinor Chuquimia Costano (Telf: 6722379 / 6722993),NA,NA,-,NA,2020-03-19,Tarija,NB-SABS (D.S.0181)
20-4601-00-1037887-0-E,Gobierno Autonomo Regional Del Gran Chaco,Bienes,CM,"Adquisicion De 7 Camas Hospitalarias De Dos Movimientos Para La Sala De Aislamiento Del Hospital Fray Quebracho Para La Prevencion, Control Y Atencion Del Coronavirus (Covid - 19)",Contratado,NA,NA,2020-04-06,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Yessica Pamela  Torrez (Telf: 46822041),NA,NA,-,NA,2020-03-27,Tarija,NB-SABS (D.S.0181)
20-1406-00-1037976-0-E,Gobierno Autonomo Municipal De Huanuni (Villa Huanuni),Bienes,CM,"Adquisicion De Material De Insumos De Prevencion Covid - 19 Mascarillas, Guantes, Mandil, Juegos De Bata Gorra Y Barbijo, Jabon Liquido, Bolsa De Plastico Y Alcohol En Gel",Contratado,NA,NA,2020-04-07,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Wilfredo Simeon Tola Canaviri (Telf: 5520585),NA,NA,-,NA,2020-04-02,Oruro,NB-SABS (D.S.0181)
20-1905-00-1038031-0-E,Gobierno Autonomo Municipal De Puerto Rico,Bienes,EM,Adquisiciã?N De Alimentos Perecederos Paras Las Familias Afectadas Ante La Emergencia Nacional Por El  Brote De Coronavirus  Covid 19 En Atenciã?N De Emergencias Y Desastres Naturales Del Gobierno Autã?Nomo Municipal De Puerto Rico,Contratado,NA,NA,2020-04-08,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioInforme,FORM 400,Ver Ficha,Liset Rosario Benitez Romero (Telf: 74772822),NA,NA,-,NA,2020-04-07,Pando,NB-SABS (D.S.0181)
