cuce,entidad,tipo_contratacion,modalidad,objeto,estado.x,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado.y,cronograma
20-1606-00-1037832-0-E,Gobierno Autonomo Municipal De Villamontes,Bienes,EM,Adquisicion De Viveres Para Seguridad Alimentaria Del Municipio De Villa Montes En Atencion A La Emergencia Sanitaria Covid - 19 Y Cuarentena Nacional,Contratado,,,2020-04-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Heinor Chuquimia Costano (Telf: 6722379 / 6722993),,,-,,2020-03-31,Tarija,NB-SABS (D.S.0181),1,5019000,31150,VIVERES PARA SEGURIDAD ALIMENTARIA DEL MUNICIPIO DE VILLA MONTES EN ATENCION A LA EMERGENCIA SANITARIA COVID - 19 Y CUARENTENA NACIONAL,GLOBAL,1,,,MOJICA AVALOS MARIA NANCY,200000,200000,1,200000,200000,Contratado,Cronograma
20-1606-00-1038338-0-E,Gobierno Autonomo Municipal De Villamontes,Bienes,EM,Adquisicion De Viveres Para Seguridad Alimentaria Del Municipio De Villa Montes En Atencion A La Emergencia Sanitaria Covid - 19 Y Cuarentena Nacinal (Para 2000 Familias Beneficiarias Restantes),Contratado,,,2020-04-16,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Heinor Chuquimia Costano (Telf: 6722379 / 6722993),,,-,,2020-04-13,Tarija,NB-SABS (D.S.0181),1,5019000,31150,VIVERES PARA SEGURIDAD ALIMENTARIA DEL MUNICIPIO DE VILLA MONTES EN ATENCION A LA EMERGENCIA SANITARIA COVID - 19 Y CUARENTENA NACINAL (PARA 2000 FAMILIAS BENEFICIARIAS RESTANTES),GLOBAL,1,,,MOJICA AVALOS MARIA NANCY,200000,200000,1,200000,200000,Contratado,Cronograma
20-1201-00-1039737-0-E,Gobierno Autonomo Municipal De La Paz,Bienes,EM,Adquisiciã??N De Refrigerio Para Personal De La Policã?ÂA Boliviana Y El Ejercito Boliviano Desplegado En El Marco Del Operativo De Seguridad Para El Cumplimiento De La Cuarentena Total En El Municipio De La Paz,Contratado,,,2020-05-06,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rafael Angel Delgadillo Lopez (Telf: 2203034),,,-,,2020-04-20,La Paz,NB-SABS (D.S.0181),1,5019000,31150,GALLETA OBLEA/RELLENA,BOLSA DE 30 GRAMOS,95106,,,EMPRESA BOLIVIANA DE ALIMENTOS Y DERIVADOS - EBA,1.3,123637.8,95106,1.3,123637.8,Contratado,Cronograma
20-1201-00-1039737-0-E,Gobierno Autonomo Municipal De La Paz,Bienes,EM,Adquisiciã??N De Refrigerio Para Personal De La Policã?ÂA Boliviana Y El Ejercito Boliviano Desplegado En El Marco Del Operativo De Seguridad Para El Cumplimiento De La Cuarentena Total En El Municipio De La Paz,Contratado,,,2020-05-06,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rafael Angel Delgadillo Lopez (Telf: 2203034),,,-,,2020-04-20,La Paz,NB-SABS (D.S.0181),2,5013000,31150,YOGURT PROBIÓTICO,BOLSA DE 120 MILILI,95106,,,EMPRESA BOLIVIANA DE ALIMENTOS Y DERIVADOS - EBA,1.45,137903.7,95106,1.45,137903.7,Contratado,Cronograma
20-1201-00-1039737-0-E,Gobierno Autonomo Municipal De La Paz,Bienes,EM,Adquisiciã??N De Refrigerio Para Personal De La Policã?ÂA Boliviana Y El Ejercito Boliviano Desplegado En El Marco Del Operativo De Seguridad Para El Cumplimiento De La Cuarentena Total En El Municipio De La Paz,Contratado,,,2020-05-06,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rafael Angel Delgadillo Lopez (Telf: 2203034),,,-,,2020-04-20,La Paz,NB-SABS (D.S.0181),3,5013000,31150,LECHE UHT,BOLSA DE 140 MILILIT,77814,,,EMPRESA BOLIVIANA DE ALIMENTOS Y DERIVADOS - EBA,1.45,112830.3,77814,1.45,112830.3,Contratado,Cronograma
20-1201-00-1039737-0-E,Gobierno Autonomo Municipal De La Paz,Bienes,EM,Adquisiciã??N De Refrigerio Para Personal De La Policã?ÂA Boliviana Y El Ejercito Boliviano Desplegado En El Marco Del Operativo De Seguridad Para El Cumplimiento De La Cuarentena Total En El Municipio De La Paz,Contratado,,,2020-05-06,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rafael Angel Delgadillo Lopez (Telf: 2203034),,,-,,2020-04-20,La Paz,NB-SABS (D.S.0181),4,5016000,31150,MIEL,BOLSA DE 10 GRAMOS,86460,,,EMPRESA BOLIVIANA DE ALIMENTOS Y DERIVADOS - EBA,1.2,103752,86460,1.2,103752,Contratado,Cronograma
20-1201-00-1039737-0-E,Gobierno Autonomo Municipal De La Paz,Bienes,EM,Adquisiciã??N De Refrigerio Para Personal De La Policã?ÂA Boliviana Y El Ejercito Boliviano Desplegado En El Marco Del Operativo De Seguridad Para El Cumplimiento De La Cuarentena Total En El Municipio De La Paz,Contratado,,,2020-05-06,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rafael Angel Delgadillo Lopez (Telf: 2203034),,,-,,2020-04-20,La Paz,NB-SABS (D.S.0181),5,5022000,31150,CEREAL TIPO BARRA ENERGÉTICA,BOLSA DE 20 GRAMOS,77814,,,EMPRESA BOLIVIANA DE ALIMENTOS Y DERIVADOS - EBA,1.5,116721,77814,1.5,116721,Contratado,Cronograma
20-1315-00-1039774-0-E,Gobierno Autonomo Municipal De Punata,Bienes,CM,Prevencion Control Y Atencion Del Coronavirus (Adq. De Insumos De Bioseguridad Por Emergencia Sanitaria Y Cuarentena Contra El Coronavirus - Covid-19),Contratado,,,2020-05-07,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Yvan Reque Tenorio (Telf: 4577021),,,-,,2020-04-13,Cochabamba,NB-SABS (D.S.0181),1,1115000,34200,PREVENCION CONTROL Y ATENCION DEL CORONAVIRUS (ADQ. DE INSUMOS DE BIOSEGURIDAD POR EMERGENCIA SANITARIA Y CUARENTENA CONTRA EL CORONAVIRUS - COVID-19),GBL,1,,,RODRIGUEZ MORALES CLAUDIA,28280,28280,1,28280,28280,Contratado,Cronograma
20-1801-00-1040119-0-E,Gobierno Autonomo Municipal De Santisima Trinidad,Bienes,EM,Adquisicion De Botas De Goma Y Ponchos Impermeables Para Efectivos De La Policia Departamental Por La Declaratoria De Emergencia Sanitaria Y Cuarentena Nacional Por Brote De Coronavirus (Civud 19),Contratado,,,2020-05-12,Res. de Adjudicacion (nota)InformeContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioInformeInformeRes. de Adjudicacion (nota)Res. de Adjudicacion (nota)Ver mas...,FORM 400FORM 500,Ver Ficha,"Eulis Cuellar Cardona (Telf: 4621477, 4621322)",,,-,,2020-05-04,Beni,NB-SABS (D.S.0181),1,4618000,33300,PONCHOS IMPERMEABLES PVC CON GORRO,UNIDAD,200,,,GUZMAN SOLETO ERIKA,95,19000,200,95,19000,Contratado,Cronograma
20-1801-00-1040119-0-E,Gobierno Autonomo Municipal De Santisima Trinidad,Bienes,EM,Adquisicion De Botas De Goma Y Ponchos Impermeables Para Efectivos De La Policia Departamental Por La Declaratoria De Emergencia Sanitaria Y Cuarentena Nacional Por Brote De Coronavirus (Civud 19),Contratado,,,2020-05-12,Res. de Adjudicacion (nota)InformeContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioInformeInformeRes. de Adjudicacion (nota)Res. de Adjudicacion (nota)Ver mas...,FORM 400FORM 500,Ver Ficha,"Eulis Cuellar Cardona (Telf: 4621477, 4621322)",,,-,,2020-05-04,Beni,NB-SABS (D.S.0181),2,4618000,33300,BOTAS DE GOMA DE PVC,UNIDAD,100,,,GUZMAN SOLETO ERIKA,95,9500,100,95,9500,Contratado,Cronograma
