cuce,entidad,tipo_contratacion,modalidad,objeto,estado.x,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado.y,cronograma
20-0418-11-1038096-0-E,Caja Petrolera De Salud-Administracion Regional Sucre,Bienes,CM,Adquisicion De Insumos De Proteccion Personal Ante La Pandemia Del Nuevo Coronavirus Para El Personal De La Caja Petrolera De Salud  - Regional Sucre - Gestion 2020,Contratado,,,2020-04-09,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Veronica Tania Coaquira Calizaya (Telf: 6454851),,,-,,2020-03-23,Chuquisaca,NB-SABS (D.S.0181),1,4213000,34200,TERMOMETRO INFRAROJO,PIEZA,3,,,AVILES GONZALES YANNETH,700,2100,3,700,2100,Contratado,Cronograma
20-0418-11-1038096-0-E,Caja Petrolera De Salud-Administracion Regional Sucre,Bienes,CM,Adquisicion De Insumos De Proteccion Personal Ante La Pandemia Del Nuevo Coronavirus Para El Personal De La Caja Petrolera De Salud  - Regional Sucre - Gestion 2020,Contratado,,,2020-04-09,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Veronica Tania Coaquira Calizaya (Telf: 6454851),,,-,,2020-03-23,Chuquisaca,NB-SABS (D.S.0181),2,4213000,34200,GUANTES DE NITRILO,CAJA,20,,,AVILES GONZALES YANNETH,45,900,20,45,900,Contratado,Cronograma
20-0418-11-1038096-0-E,Caja Petrolera De Salud-Administracion Regional Sucre,Bienes,CM,Adquisicion De Insumos De Proteccion Personal Ante La Pandemia Del Nuevo Coronavirus Para El Personal De La Caja Petrolera De Salud  - Regional Sucre - Gestion 2020,Contratado,,,2020-04-09,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Veronica Tania Coaquira Calizaya (Telf: 6454851),,,-,,2020-03-23,Chuquisaca,NB-SABS (D.S.0181),3,4213000,34200,MAMELUCOS,PIEZA,50,,,AVILES GONZALES YANNETH,170,8500,50,170,8500,Contratado,Cronograma
20-0418-11-1038096-0-E,Caja Petrolera De Salud-Administracion Regional Sucre,Bienes,CM,Adquisicion De Insumos De Proteccion Personal Ante La Pandemia Del Nuevo Coronavirus Para El Personal De La Caja Petrolera De Salud  - Regional Sucre - Gestion 2020,Contratado,,,2020-04-09,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Veronica Tania Coaquira Calizaya (Telf: 6454851),,,-,,2020-03-23,Chuquisaca,NB-SABS (D.S.0181),4,4213000,34200,GAFAS DE PROTECCION,PIEZA,35,,,AVILES GONZALES YANNETH,77,2695,35,77,2695,Contratado,Cronograma
20-0418-11-1038096-0-E,Caja Petrolera De Salud-Administracion Regional Sucre,Bienes,CM,Adquisicion De Insumos De Proteccion Personal Ante La Pandemia Del Nuevo Coronavirus Para El Personal De La Caja Petrolera De Salud  - Regional Sucre - Gestion 2020,Contratado,,,2020-04-09,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Veronica Tania Coaquira Calizaya (Telf: 6454851),,,-,,2020-03-23,Chuquisaca,NB-SABS (D.S.0181),5,4213000,34200,CUBRE ZAPATOS DESCARTABLES,PAQUET E,2,,,AVILES GONZALES YANNETH,85,170,2,85,170,Contratado,Cronograma
20-0418-11-1038096-0-E,Caja Petrolera De Salud-Administracion Regional Sucre,Bienes,CM,Adquisicion De Insumos De Proteccion Personal Ante La Pandemia Del Nuevo Coronavirus Para El Personal De La Caja Petrolera De Salud  - Regional Sucre - Gestion 2020,Contratado,,,2020-04-09,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Veronica Tania Coaquira Calizaya (Telf: 6454851),,,-,,2020-03-23,Chuquisaca,NB-SABS (D.S.0181),6,4213000,34200,BARBIJOS N 95,PIEZA,400,,,AVILES GONZALES YANNETH,48,19200,400,48,19200,Contratado,Cronograma
20-1305-00-1038246-0-E,Gobierno Autonomo Municipal De Vinto,Bienes,CM,Compra De Desinfectante Para Pisos Y Paredes Para Centros De Salud Y Hospital Municipal Vinto Para La Pandemia Covid - 19,Contratado,,,2020-04-14,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Lucy Noelia Guzman Herbas (Telf: 4260150),,,-,,2020-03-31,Cochabamba,NB-SABS (D.S.0181),1,4713000,34200,DETERGENTE DESINFECTANTE PARA PISOS Y PAREDES,BIDON 5 LITROS,75,,,THOMPSON OTERO ELIZABETH,600,45000,75,600,45000,Contratado,Cronograma
20-1305-00-1038255-0-E,Gobierno Autonomo Municipal De Vinto,Bienes,CM,Compra De Desinfectantes Para Centros De Salud Y Hospital Municipal Vinto Para La Pandemia Covid-19,Contratado,,,2020-04-14,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Lucy Noelia Guzman Herbas (Telf: 4260150),,,-,,2020-03-31,Cochabamba,NB-SABS (D.S.0181),1,4712000,34200,ESPUMA DETERGENTE DESINFECTANTE DE SUPERFICIE Y EQUIPOS MEDICOS,FRASCO 750 ML,230,,,THOMPSON OTERO ELIZABETH,200,46000,230,200,46000,Contratado,Cronograma
20-0382-00-1038880-0-E,Agencia De Infraestructura En Salud Y Equipamiento Medico,Bienes,OF,Equipamiento De Establecimientos De Salud Para Atencion De Emergencia De La Pandemia De Coronavirus A Nivel Nacional,Contratado,,,2020-04-25,InformeRes. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Gabriela Claudia Perez Gallegos (Telf: 2125007),,,-,,2020-03-24,La Paz,BID,1,4218000,43400,MONITOR MULTIPARAMETRICO,EQUIPO,10,,,ORIENTE MARVI S.R.L.,67000,670000,,,,Contratado,Cronograma
20-0382-00-1038880-0-E,Agencia De Infraestructura En Salud Y Equipamiento Medico,Bienes,OF,Equipamiento De Establecimientos De Salud Para Atencion De Emergencia De La Pandemia De Coronavirus A Nivel Nacional,Contratado,,,2020-04-25,InformeRes. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Gabriela Claudia Perez Gallegos (Telf: 2125007),,,-,,2020-03-24,La Paz,BID,2,4218000,43400,"MONITOR MULTIPARAMETRICO 12""",EQUIPOS,12,,,BIOTECNO LTDA.,85000,1020000,,,,Contratado,Cronograma
