cuce,entidad,tipo_contratacion,modalidad,objeto,estado.x,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado.y,cronograma
20-1302-00-1036469-0-E,Gobierno Autonomo Municipal De Quillacollo,Bienes,CM,Compra De Jeringas Descartables De 3ml Para Campaña De Vacunacion Antirrabica Para La Unidad De Zoonosis,Contratado,,,2020-03-17,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Claudia Samira Ortega Flores (Telf: 4260095),,,-,,2020-03-10,Cochabamba,NB-SABS (D.S.0181),1,5121000,34200,COMPRA DE JERINGAS DESCARTABLES DE 3ML PARA CAMPAÑA DE VACUNACION ANTIRRABICA PARA LA UNIDAD DE ZOONOSIS,GLOBAL,1,,,TERRAZAS RIVAS MIGUEL ANGEL,25600,25600,1,25600,25600,Contratado,Cronograma
20-1312-00-1036342-0-E,Gobierno Autonomo Municipal De Sacaba,Bienes,CM,Adquisición De Vacunas Fármacos Y Reactivos E Insumos Veterinarios (Adquisición De Jeringas Desechables Para Las Campañas De Vacunacion Antirrábica Canina Y Felina Gestión 2020),Contratado,,,2020-03-17,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Dering Orozco Meneces (Telf: 4702301),,,-,,2020-03-05,Cochabamba,NB-SABS (D.S.0181),1,5121000,34200,ADQUISICIÓN DE JERINGAS DESECHABLES PARA LAS CAMPAÑAS DE VACUNACION ANTIRRÁBICA CANINA Y FELINA GESTIÓN 2020,PIEZA,137000,,,TERRAZAS RIVAS MIGUEL ANGEL,0.27,36990,137000,0.27,36990,Contratado,Cronograma
20-0901-00-1036666-1-1,Gobierno Autonomo Departamental De Chuquisaca,Bienes,ANPP,Adquisicion De Productos Quimicos Y Farmaceuticos (Vacunas Y Otros Para Prevencion Y Control De Enfermedades En Animales) Para El Programa Sanidad Animal Y Vegetal,Contratado,,2020-06-01,2020-03-18,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de SuspensionResolucion/Documento de ReanudacionActa Reunion de AclaracionInforme de la Comision/Responsable de EvaluacionRes. de Desierta (nota)Res. de Adjudicacion (nota)Ver mas...,FORM 100FORM 100-EFORM RPSFORM 170FORM 200FORM 500,Ver Ficha,Jorge  Luis Bayo Parina (Telf: (591-4) 64-39675 ),,,-,25/03/2020 10:00,2020-06-05,Chuquisaca,NB-SABS (D.S.0181),1,8511000,34200,ITEM II = Vacuna para carbunco bacteridiano y sintomático,DOSIS,40000,2.8,112000,CRUZ  ROSARIO CAMILA,2.8,112000,40000,2.8,112000,Contratado,Cronograma 2
20-0901-00-1036666-1-1,Gobierno Autonomo Departamental De Chuquisaca,Bienes,ANPP,Adquisicion De Productos Quimicos Y Farmaceuticos (Vacunas Y Otros Para Prevencion Y Control De Enfermedades En Animales) Para El Programa Sanidad Animal Y Vegetal,Contratado,,2020-06-01,2020-03-18,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de SuspensionResolucion/Documento de ReanudacionActa Reunion de AclaracionInforme de la Comision/Responsable de EvaluacionRes. de Desierta (nota)Res. de Adjudicacion (nota)Ver mas...,FORM 100FORM 100-EFORM RPSFORM 170FORM 200FORM 500,Ver Ficha,Jorge  Luis Bayo Parina (Telf: (591-4) 64-39675 ),,,-,25/03/2020 10:00,2020-06-05,Chuquisaca,NB-SABS (D.S.0181),2,8511000,34200,ITEM III = Vacuna para Clostridiosis,DOSIS,40000,3.2,128000,CRUZ  ROSARIO CAMILA,3.2,128000,40000,3.2,128000,Contratado,Cronograma 2
20-0901-00-1036666-1-1,Gobierno Autonomo Departamental De Chuquisaca,Bienes,ANPP,Adquisicion De Productos Quimicos Y Farmaceuticos (Vacunas Y Otros Para Prevencion Y Control De Enfermedades En Animales) Para El Programa Sanidad Animal Y Vegetal,Contratado,,2020-06-01,2020-03-18,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de SuspensionResolucion/Documento de ReanudacionActa Reunion de AclaracionInforme de la Comision/Responsable de EvaluacionRes. de Desierta (nota)Res. de Adjudicacion (nota)Ver mas...,FORM 100FORM 100-EFORM RPSFORM 170FORM 200FORM 500,Ver Ficha,Jorge  Luis Bayo Parina (Telf: (591-4) 64-39675 ),,,-,25/03/2020 10:00,2020-06-05,Chuquisaca,NB-SABS (D.S.0181),3,8511000,34200,ITEM IV = Vacuna peste porcina,DOSIS,40000,1.8,72000,AGUDO GUTIERREZ IVAN,1.72,68800,40000,1.72,68800,Contratado,Cronograma 2
20-0901-00-1036666-1-1,Gobierno Autonomo Departamental De Chuquisaca,Bienes,ANPP,Adquisicion De Productos Quimicos Y Farmaceuticos (Vacunas Y Otros Para Prevencion Y Control De Enfermedades En Animales) Para El Programa Sanidad Animal Y Vegetal,Contratado,,2020-06-01,2020-03-18,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de SuspensionResolucion/Documento de ReanudacionActa Reunion de AclaracionInforme de la Comision/Responsable de EvaluacionRes. de Desierta (nota)Res. de Adjudicacion (nota)Ver mas...,FORM 100FORM 100-EFORM RPSFORM 170FORM 200FORM 500,Ver Ficha,Jorge  Luis Bayo Parina (Telf: (591-4) 64-39675 ),,,-,25/03/2020 10:00,2020-06-05,Chuquisaca,NB-SABS (D.S.0181),4,8511000,34200,ITEM VI = Otros  Pintura en pasta antitóxica,PASTA,650,20,13000,nan,,,,,,Las propuestas no cumplieron aspectos tecnicos/admini strativos,Cronograma 2
20-0901-00-1036666-1-1,Gobierno Autonomo Departamental De Chuquisaca,Bienes,ANPP,Adquisicion De Productos Quimicos Y Farmaceuticos (Vacunas Y Otros Para Prevencion Y Control De Enfermedades En Animales) Para El Programa Sanidad Animal Y Vegetal,Contratado,,2020-06-01,2020-03-18,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de SuspensionResolucion/Documento de ReanudacionActa Reunion de AclaracionInforme de la Comision/Responsable de EvaluacionRes. de Desierta (nota)Res. de Adjudicacion (nota)Ver mas...,FORM 100FORM 100-EFORM RPSFORM 170FORM 200FORM 500,Ver Ficha,Jorge  Luis Bayo Parina (Telf: (591-4) 64-39675 ),,,-,25/03/2020 10:00,2020-06-05,Chuquisaca,NB-SABS (D.S.0181),5,8511000,34200,ITEM V = Otros Antihistamínico,FRASCO,600,15,9000,AGUDO GUTIERREZ IVAN,14,8400,600,14,8400,Contratado,Cronograma 2
20-0901-00-1036666-1-1,Gobierno Autonomo Departamental De Chuquisaca,Bienes,ANPP,Adquisicion De Productos Quimicos Y Farmaceuticos (Vacunas Y Otros Para Prevencion Y Control De Enfermedades En Animales) Para El Programa Sanidad Animal Y Vegetal,Contratado,,2020-06-01,2020-03-18,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de SuspensionResolucion/Documento de ReanudacionActa Reunion de AclaracionInforme de la Comision/Responsable de EvaluacionRes. de Desierta (nota)Res. de Adjudicacion (nota)Ver mas...,FORM 100FORM 100-EFORM RPSFORM 170FORM 200FORM 500,Ver Ficha,Jorge  Luis Bayo Parina (Telf: (591-4) 64-39675 ),,,-,25/03/2020 10:00,2020-06-05,Chuquisaca,NB-SABS (D.S.0181),6,8511000,34200,ITEM I = Vacuna contra Rabia Bovina,DOSIS,300000,1,300000,nan,,,,,,No se presentaron proponentes,Cronograma 2
20-0046-26-1037456-1-1,Instituto Nacional De Laboratorios De Salud Inlasa,Bienes,ANPE,Adquisicion De Ampollas Color Ambar Para El Laboratorio De Produccion De Vacuna Antirrabica De Uso Humano Del Inlasa,Contratado,,2020-03-31,2020-03-25,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 100FORM 170FORM 200FORM 500,Ver Ficha,Alfredo Victor  Paye  Ichuta (Telf: 2226048),,,-,,2020-04-15,La Paz,NB-SABS (D.S.0181),1,4112000,39400,"Ampollas de color ámbar de vidrio neutro, capacidad 2 ml",UNIDAD,60000,1.45,87000,LABORATORIOS VITA S.A.,1.45,87000,60000,1.45,87000,Contratado,Cronograma 0
20-0046-28-1040089-0-E,Caja De Salud Cordes Cochabamba,Bienes,CM,"Adquisicion De Productos Farmaceuticos - Medicamentos Menor, Vacuna Contra Influenza",Contratado,,,2020-05-12,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Iver Cortez Alanis (Telf: 4532715),,,-,,2020-04-13,Cochabamba,NB-SABS (D.S.0181),1,5121000,34200,VACUNA CONTRA LA INFLUENZA ADULTO,INYECTA BLE,300,,,QUIMIZA LTDA,161.96,48588,300,161.96,48588,Contratado,Cronograma
