cuce,entidad,tipo_contratacion,modalidad,objeto,estado.x,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado.y,cronograma
20-1702-00-1032291-0-E,Gobierno Autonomo Municipal De Cotoca,Obras,CD,"Mantenimiento Y Refaccion Cielo Falso Pvc, U.E. Manuel Angel Cortez",Contratado,NA,NA,2020-03-03,Res. de Adjudicacion (nota)Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioVer mas...,FORM 400FORM 500,Ver Ficha,Cinthya Anahy Lino Flores (Telf: 3882547),NA,NA,-,NA,2020-02-01,Santa Cruz,NB-SABS (D.S.0181),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-0417-09-1032262-0-E,Caja Nacional De Salud - Regional La Paz,Bienes,CM,2000 Bol. Gelatina 920 Gr. Unidad De Economato Central Regional La Paz,Contratado,NA,NA,2020-03-03,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Brayan Luis Cabrera Vera (Telf: 2-901777),NA,NA,-,NA,2020-02-12,La Paz,NB-SABS (D.S.0181),1,5016000,31140,2000 BOL. GELATINA 920 GR. UNIDAD DE ECONOMATO CENTRAL REGIONAL LA PAZ,BOL,2000,NA,NA,DIEZ DE MEDINA ROMERO MIGUEL PAUL,22,44000,2000,22,44000,Contratado,Cronograma
20-1702-00-1035184-0-E,Gobierno Autonomo Municipal De Cotoca,Obras,CD,Refaccion Y Mantenimiento U.E. Manuel Angel Cortez Gestion 2020,Contratado,NA,NA,2020-03-12,Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioVer mas...,FORM 400FORM 500,Ver Ficha,Cinthya Anahy Lino Flores (Telf: 3882547),NA,NA,-,NA,2020-02-27,Santa Cruz,NB-SABS (D.S.0181),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-0599-00-1035937-0-E,Empresa Boliviana De Alimentos Y Derivados-Eba,Bienes,CD,"Adquisicion De Raciones Solidas Y Postre Gelificado Para Las Unidades Educativas Del Municipio De Vinto, Eba/Cd/2020-018.",Contratado,NA,NA,2020-03-16,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Elida Beatriz Flores Ichuta (Telf: 2145707),NA,NA,-,NA,2020-02-03,La Paz,NB-SABS (D.S.0181),1,5016000,31300,POSTRE GELIFICADO DE 110 GRAMOS.,RACION,167960,NA,NA,OVOPLUS S.R.L.,1.25,209950,NA,NA,NA,Contratado,Cronograma
20-0599-00-1035937-0-E,Empresa Boliviana De Alimentos Y Derivados-Eba,Bienes,CD,"Adquisicion De Raciones Solidas Y Postre Gelificado Para Las Unidades Educativas Del Municipio De Vinto, Eba/Cd/2020-018.",Contratado,NA,NA,2020-03-16,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Elida Beatriz Flores Ichuta (Telf: 2145707),NA,NA,-,NA,2020-02-03,La Paz,NB-SABS (D.S.0181),2,5018000,31300,EMPANADA CON RELLENO DE QUESO DE 40 GRAMOS.,RACION,167960,NA,NA,OVOPLUS S.R.L.,1.09,183076.4,NA,NA,NA,Contratado,Cronograma
20-0599-00-1035937-0-E,Empresa Boliviana De Alimentos Y Derivados-Eba,Bienes,CD,"Adquisicion De Raciones Solidas Y Postre Gelificado Para Las Unidades Educativas Del Municipio De Vinto, Eba/Cd/2020-018.",Contratado,NA,NA,2020-03-16,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Elida Beatriz Flores Ichuta (Telf: 2145707),NA,NA,-,NA,2020-02-03,La Paz,NB-SABS (D.S.0181),3,5018000,31300,PAN ESPECIAL DE 40 GRAMOS.,RACION,184756,NA,NA,OVOPLUS S.R.L.,0.84,155195.04,NA,NA,NA,Contratado,Cronograma
20-0512-00-1036261-0-E,Aasana,Bienes,CM,"Adquisiciã??N De Barbijos N 95, Barbijos Normales, Alcohol En Gel, Y Guante De Latex Para Los Aeropuertos De Uyuni, Oruro Y Cobija",Contratado,NA,NA,2020-03-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioDoc. resolucion Contrato / Doc. deja sin efecto Orden de Compra/Servicio,FORM 400FORM 600,Ver Ficha,Libertad Cuper Quispe (Telf: 2319731),NA,NA,-,NA,2020-03-10,La Paz,NB-SABS (D.S.0181),1,4618000,39100,GUANTES DE LATEX,PARES,600,NA,NA,GOMEZ TRINCADO PAMELA SAMANTA,1.3,780,NA,NA,NA,Resuelto,Cronograma
20-0512-00-1036261-0-E,Aasana,Bienes,CM,"Adquisiciã??N De Barbijos N 95, Barbijos Normales, Alcohol En Gel, Y Guante De Latex Para Los Aeropuertos De Uyuni, Oruro Y Cobija",Contratado,NA,NA,2020-03-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioDoc. resolucion Contrato / Doc. deja sin efecto Orden de Compra/Servicio,FORM 400FORM 600,Ver Ficha,Libertad Cuper Quispe (Telf: 2319731),NA,NA,-,NA,2020-03-10,La Paz,NB-SABS (D.S.0181),2,4412000,34200,ALCOHOL EN GEL DE 360ML,PIEZAS,600,NA,NA,GOMEZ TRINCADO PAMELA SAMANTA,31.5,18900,NA,NA,NA,Resuelto,Cronograma
20-0512-00-1036261-0-E,Aasana,Bienes,CM,"Adquisiciã??N De Barbijos N 95, Barbijos Normales, Alcohol En Gel, Y Guante De Latex Para Los Aeropuertos De Uyuni, Oruro Y Cobija",Contratado,NA,NA,2020-03-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioDoc. resolucion Contrato / Doc. deja sin efecto Orden de Compra/Servicio,FORM 400FORM 600,Ver Ficha,Libertad Cuper Quispe (Telf: 2319731),NA,NA,-,NA,2020-03-10,La Paz,NB-SABS (D.S.0181),3,4618000,33300,BARBIJOS N 95,UNIDAD,600,NA,NA,GOMEZ TRINCADO PAMELA SAMANTA,49.3,29580,NA,NA,NA,Resuelto,Cronograma
20-0512-00-1036261-0-E,Aasana,Bienes,CM,"Adquisiciã??N De Barbijos N 95, Barbijos Normales, Alcohol En Gel, Y Guante De Latex Para Los Aeropuertos De Uyuni, Oruro Y Cobija",Contratado,NA,NA,2020-03-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioDoc. resolucion Contrato / Doc. deja sin efecto Orden de Compra/Servicio,FORM 400FORM 600,Ver Ficha,Libertad Cuper Quispe (Telf: 2319731),NA,NA,-,NA,2020-03-10,La Paz,NB-SABS (D.S.0181),4,4213000,34500,BARBIJOS NORMALES,UNIDAD,600,NA,NA,GOMEZ TRINCADO PAMELA SAMANTA,0.7,420,NA,NA,NA,Resuelto,Cronograma
