cuce,entidad,tipo_contratacion,modalidad,objeto,estado.x,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado.y,cronograma
20-0513-00-1075746-1-1,Yacimientos Petroliferos Fiscales Bolivianos - Ypfb,Bienes,ANPP,Adquisición De Pruebas Covid-19 Para La Gind,Contratado,No,2020-11-10,2020-10-28,1.Documento Base de Contratacion 2.Convocatoria 3.Acta de Apertura 4.Informe de la Comision/Responsable de Evaluacion 5.Res. de Adjudicacion (nota) 6.Contrato/Orden de Compra/Orden de Servicio 7.Acta o informe de recepcion definitiva,1.FORM 100 2.FORM 170 3.FORM 200 4.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=20-0513-00-1075746-1-1,Wendy Gabriela Jimenez Roca (Telf: 2358802),,,-,,,La Paz,NB-SABS (D.S.0181),1,4111000,34200,Pruebas Covid-19 IgG/IgM,PIEZA,,,,EQUIPOS Y SERVICIOS CISE S.R.L.,,,,,,Contratado,Cronograma 0
21-0207-04-1107771-2-1,Agencia Nacional De Hidrocarburos,Servicios Generales,CM,Servicio De Laboratorio Pruebas Covid-19 Para Supervision Y Fiscalizacion De Las Actividades De Produccion,Contratado,No,2021-03-30,2021-03-24,1.Declaración Jurada del Proveedor 2.Oferta del Proveedor Identificado 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0207-04-1107771-2-1,Sara Barboza Achacollo (Telf: 2614000),,,-,,,La Paz,NB-SABS (D.S.0181),1,4218000,25120,PRUEBA ELISA PARA ANTICUERPOS IgG e IgM contra SARS Cov 2,PRUEBA,,,,,,,,,,Contratado,Cronograma 0
21-0207-04-1107771-2-1,Agencia Nacional De Hidrocarburos,Servicios Generales,CM,Servicio De Laboratorio Pruebas Covid-19 Para Supervision Y Fiscalizacion De Las Actividades De Produccion,Contratado,No,2021-03-30,2021-03-24,1.Declaración Jurada del Proveedor 2.Oferta del Proveedor Identificado 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0207-04-1107771-2-1,Sara Barboza Achacollo (Telf: 2614000),,,-,,,La Paz,NB-SABS (D.S.0181),2,4218000,25120,PRUEBA RAPIDA DE ANTIGENO PARA EL SARS Cov 2,PRUEBA,,,,,,,,,,Contratado,Cronograma 0
21-0207-04-1107771-2-1,Agencia Nacional De Hidrocarburos,Servicios Generales,CM,Servicio De Laboratorio Pruebas Covid-19 Para Supervision Y Fiscalizacion De Las Actividades De Produccion,Contratado,No,2021-03-30,2021-03-24,1.Declaración Jurada del Proveedor 2.Oferta del Proveedor Identificado 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0207-04-1107771-2-1,Sara Barboza Achacollo (Telf: 2614000),,,-,,,La Paz,NB-SABS (D.S.0181),3,4218000,25120,PRUEBA RT-PCR PARA EL VIRUS SARS Cov 2,PRUEBA,,,,,,,,,,Contratado,Cronograma 0
21-0417-06-1128277-1-1,Caja Nacional De Salud (Regional Chuquisaca),Bienes,CM,Adquisicion De Pruebas Covid Elisa Igg Solicitado Por El Servicio De Laboratorio Del Hospital Jaime Mendoza De La Caja Nacionla De Salud Regional Chuquisaca,Contratado,No,2021-04-09,2021-04-06,1.Oferta del Proveedor Identificado 2.Declaración Jurada del Proveedor 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0417-06-1128277-1-1,Marvelia Canaviri Martinez (Telf: 6461501),,,-,,,Chuquisaca,NB-SABS (D.S.0181),1,4111615,34200,Kit ELISA de ensayo inmunosorbente ligado a enzimas - PRUEBA COVID - 19 ELISA IGG,CAJA,10,,,,,,10,,,Contratado,Cronograma 0
21-0417-06-1128258-1-1,Caja Nacional De Salud (Regional Chuquisaca),Bienes,CM,Adquisicion De Pruebas Covid Elisa Igm Solicitado Por El Servicio De Laboratorio Del Hospital Jaime Mendoza De La Caja Nacionla De Salud Regional Chuquisaca,Contratado,No,2021-04-09,2021-04-06,1.Declaración Jurada del Proveedor 2.Oferta del Proveedor Identificado 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0417-06-1128258-1-1,Marvelia Canaviri Martinez (Telf: 6461501),,,-,,,Chuquisaca,NB-SABS (D.S.0181),1,4111615,34200,Kit ELISA de ensayo inmunosorbente ligado a enzimas - PRUEBA COVID - 19 ELISA IGM,CAJA,10,,,,,,10,,,Contratado,Cronograma 0
21-1302-00-1129395-1-1,Gobierno Autonomo Municipal De Quillacollo,Bienes,CM,Compra De Cabina Para Pruebas Covid-19 Servicio De Laboratorio Hospital Dr. Benigno Sanchez Del Municipio De Quillacollo,Contratado,No,2021-04-13,2021-04-08,1.Oferta del Proveedor Identificado 2.Declaración Jurada del Proveedor 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-1302-00-1129395-1-1,Claudia Samira Ortega Flores (Telf: 4260095),,,-,,,Cochabamba,NB-SABS (D.S.0181),1,4110400,34600,Cambiadores de muestras - CABINA DE PRUEBAS COVID - 19,EQUIPO,2,,,,,,2,,,Contratado,Cronograma 0
21-0207-04-1130201-1-1,Agencia Nacional De Hidrocarburos,Servicios Generales,CM,Servicio De Laboratorio Pruebas Covid-19 Para Supervision - Dri,Contratado,No,2021-04-15,2021-04-12,1.Oferta del Proveedor Identificado 2.Declaración Jurada del Proveedor 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0207-04-1130201-1-1,Luis Rolando Chuquimia Choque (Telf: 2614000),,,-,,,La Paz,NB-SABS (D.S.0181),1,8534190,25120,Diagnóstico de influenza con neumonía - Prueba RT-PCR para virus SARS Cov 2,SERVICI O,,,,,,,,,,Contratado,Cronograma 0
21-0207-04-1130201-1-1,Agencia Nacional De Hidrocarburos,Servicios Generales,CM,Servicio De Laboratorio Pruebas Covid-19 Para Supervision - Dri,Contratado,No,2021-04-15,2021-04-12,1.Oferta del Proveedor Identificado 2.Declaración Jurada del Proveedor 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0207-04-1130201-1-1,Luis Rolando Chuquimia Choque (Telf: 2614000),,,-,,,La Paz,NB-SABS (D.S.0181),2,8534190,25120,Diagnóstico de influenza con neumonía - Prueba ELISA para anticuerpos IgG e IgM contra SARS Cov 2,SERVICI O,,,,,,,,,,Contratado,Cronograma 0
21-0207-04-1130201-1-1,Agencia Nacional De Hidrocarburos,Servicios Generales,CM,Servicio De Laboratorio Pruebas Covid-19 Para Supervision - Dri,Contratado,No,2021-04-15,2021-04-12,1.Oferta del Proveedor Identificado 2.Declaración Jurada del Proveedor 3.Contrato/Orden de Compra/Orden de Servicio 4.Acta o informe de recepcion definitiva,1.FORM 110 2.FORM 220 3.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=21-0207-04-1130201-1-1,Luis Rolando Chuquimia Choque (Telf: 2614000),,,-,,,La Paz,NB-SABS (D.S.0181),3,8534190,25120,Diagnóstico de influenza con neumonía - Prueba Rápida de Antígeno para SARS Cov 2,SERVICI O,,,,,,,,,,Contratado,Cronograma 0
