cuce,entidad,tipo_contratacion,modalidad,objeto,estado,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1401-00-1039271-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,"1000 Pzas. Respirador 8210 Contra Polvo Nâº95, 6 Pzas. Respirador 9820 Contra Polvo Nâº 95 Plegables, 36 Pzas. Protector Facial H4 Con Cabecera 82781 C/Policarbonato, 36 Pzas. Antiparras Gogle Gerar Antipanate Acotchgard-Tm,........................(Unidad De Salud Municipal-Prendas De Bioseguridad Alm-P-00229/20)",Contratado,NA,NA,2020-04-29,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Andres Angulo Rocha (Telf: 25251624),NA,NA,-,NA,2020-02-19,Oruro,NB-SABS (D.S.0181)
20-1805-00-1039210-0-E,Gobierno Autonomo Municipal De Guayaramerin,Bienes,EM,Compra De  Equipos Medicos (Respiradores) Para La Sal De Salud De Aislamiento Del Covid - 19 En El Municipio De Guayaramerin Correspondiente  A La Gestion 2020,Contratado,NA,NA,2020-04-29,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Fabiola Aliaga Anara (Telf: 8553628),NA,NA,-,NA,2020-04-29,Beni,NB-SABS (D.S.0181)
20-1312-00-1039752-0-E,Gobierno Autonomo Municipal De Sacaba,Bienes,OF,"Prevencion , Control Y Atencion Del Coronavirus (Adq. De Respiradores De Media Cara Para El H. Mexico Y Establecimientos De Primer Nivel)",Contratado,NA,NA,2020-05-07,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Juan Jose Bustamante Lujan (Telf: 4702301),NA,NA,-,NA,2020-04-27,Cochabamba,Otra Normativa especifica
20-1703-00-1040305-0-E,Gobierno Autonomo Municipal De Ayacucho (Porongo),Bienes,CM,Compra De Respirador N95 Con Valvula Que Sera Utilizado En El Centro De Salud San Juan Bautista De Porongo,Contratado,NA,NA,2020-05-13,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jacquelin Cecilia Vaca Ribera (Telf: 3841001 - 3841006),NA,NA,-,NA,2020-03-13,Santa Cruz,NB-SABS (D.S.0181)
20-0903-00-1040406-0-E,Gobierno Autónomo Departamental De Cochabamba,Bienes,CD,Adquisicion De Ventilador Mecanico Para Atencion De Pacientes Covid 19 (Respirador Adulto Pediatrico),Contratado,NA,NA,2020-05-14,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Paola Marcela Guzman Heredia (Telf: 4519121-4255253),NA,NA,-,NA,2020-04-07,Cochabamba,NB-SABS (D.S.0181)
20-1201-00-1040707-0-E,Gobierno Autonomo Municipal De La Paz,Bienes,CD,"Adquisicion De Mascarillas, Sistemas De Drenaje, Tubos Corrugados, Cateters, Filtros Para Respiradores Y Humimificadores De Oxigeno Para La Atencion De Terapia Intensiva A Pacientes Covid 19 Gestion 2020",Contratado,NA,NA,2020-05-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Wara Verenisse Choquehuanca Lima (Telf: 2203034),NA,NA,-,NA,2020-05-08,La Paz,NB-SABS (D.S.0181)
20-0905-00-1042063-0-E,Gobierno Autónomo Departamental De Potosí,Bienes,CM,Antibacterianos Para Respirador Mecánico Newport E360t Para Neonatologia Ped. 4047,Contratado,NA,NA,2020-05-28,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Juan Marcelo Villalpando Montoya (Telf: 6229679),NA,NA,-,NA,2020-05-12,Potosi,NB-SABS (D.S.0181)
20-0417-05-1041977-0-E,Caja Nacional De Salud (Regional Oruro),Bienes,CM,Respirador De Cara Completa Reutilizable De Doble Via Mas Filtro De Alta Eficiencia Para Particulas P100,Contratado,NA,NA,2020-05-28,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roxana Quispe Cortez (Telf: 5251480),NA,NA,-,NA,2020-04-08,Oruro,NB-SABS (D.S.0181)
20-1401-00-1043323-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,346 Respiradores Con Filtro 2/Dotaciones Para 173 Funcionarios (Unidad De Defensa Al Consumidor P-2009),Contratado,NA,NA,2020-06-05,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Andres Angulo Rocha (Telf: 25251624),NA,NA,-,NA,2020-05-20,Oruro,NB-SABS (D.S.0181)
20-0902-01-1046850-1-1,Servicio Departamental De Salud La Paz Sedes,Bienes,ANPE,Adquisición De Respiradores Tipo Plegables Para Covid - 19,Contratado,NA,2020-07-02,2020-06-26,Documento Base de ContratacionConvocatoriaInforme de la Comision/Responsable de EvaluacionInforme de la Comision/Responsable de EvaluacionInforme de la Comision/Responsable de EvaluacionInforme de la Comision/Responsable de EvaluacionInforme de la Comision/Responsable de EvaluacionInforme de la Comision/Responsable de EvaluacionVer mas...,FORM 100FORM 170FORM 200FORM 500,Ver Ficha,Marco Antonio Ondarza Cofiel (Telf: 2443885),NA,NA,-,NA,2020-07-07,La Paz,NB-SABS (D.S.0181)
