cuce,entidad,tipo_contratacion,modalidad,objeto,estado.x,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado.y,cronograma
20-0905-00-1038247-0-E,Gobierno Autónomo Departamental De Potosí,Bienes,CD,"""Primera Compra De Material De Limpieza Y Productos Quimicos Y Farmaceuticos (Barbijos, Guantes Quirurgicos, Gorros Desechables, Sanitizador Alcohol En Gel De 400 Grs) Para La Primera Quincena Del Mes De Abril Y La Prevencion Del Coronavirus Covid-19""",Contratado,NA,NA,2020-04-15,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Eva Basagoitia Quispe (Telf: 6229679),NA,NA,-,NA,2020-04-08,Potosi,NB-SABS (D.S.0181),1,4112000,34200,BARBIJOS SIMPLES,CAJA,425,NA,NA,BLACUTT BUSTILLOS FRANKLIN,140,59500,425,140,59500,Contratado,Cronograma
20-0905-00-1038247-0-E,Gobierno Autónomo Departamental De Potosí,Bienes,CD,"""Primera Compra De Material De Limpieza Y Productos Quimicos Y Farmaceuticos (Barbijos, Guantes Quirurgicos, Gorros Desechables, Sanitizador Alcohol En Gel De 400 Grs) Para La Primera Quincena Del Mes De Abril Y La Prevencion Del Coronavirus Covid-19""",Contratado,NA,NA,2020-04-15,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Eva Basagoitia Quispe (Telf: 6229679),NA,NA,-,NA,2020-04-08,Potosi,NB-SABS (D.S.0181),2,4112000,34200,GUANTES QUIRURGICOS,CAJA,250,NA,NA,BLACUTT BUSTILLOS FRANKLIN,45,11250,250,45,11250,Contratado,Cronograma
20-0905-00-1038247-0-E,Gobierno Autónomo Departamental De Potosí,Bienes,CD,"""Primera Compra De Material De Limpieza Y Productos Quimicos Y Farmaceuticos (Barbijos, Guantes Quirurgicos, Gorros Desechables, Sanitizador Alcohol En Gel De 400 Grs) Para La Primera Quincena Del Mes De Abril Y La Prevencion Del Coronavirus Covid-19""",Contratado,NA,NA,2020-04-15,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Eva Basagoitia Quispe (Telf: 6229679),NA,NA,-,NA,2020-04-08,Potosi,NB-SABS (D.S.0181),3,4112000,34200,GORROS DESECHABLES,CAJA,90,NA,NA,BLACUTT BUSTILLOS FRANKLIN,30,2700,90,30,2700,Contratado,Cronograma
20-0905-00-1038247-0-E,Gobierno Autónomo Departamental De Potosí,Bienes,CD,"""Primera Compra De Material De Limpieza Y Productos Quimicos Y Farmaceuticos (Barbijos, Guantes Quirurgicos, Gorros Desechables, Sanitizador Alcohol En Gel De 400 Grs) Para La Primera Quincena Del Mes De Abril Y La Prevencion Del Coronavirus Covid-19""",Contratado,NA,NA,2020-04-15,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Eva Basagoitia Quispe (Telf: 6229679),NA,NA,-,NA,2020-04-08,Potosi,NB-SABS (D.S.0181),4,4713000,39100,SANITIZADOR (ALCOHOL EN GEL DE 400 GRS),FRASCO,280,NA,NA,BLACUTT BUSTILLOS FRANKLIN,35,9800,280,35,9800,Contratado,Cronograma
20-0905-00-1038618-0-E,Gobierno Autónomo Departamental De Potosí,Bienes,CD,"Compra Material De Limpieza (Lavandina Bote De 5lt.), Sanitizador En Gel (Bote De 360 Grs.), Alcohol En Gel (Bote De 5 Lt.) Y Otros Para La Prevencion De La Emergencia Sanitaria Covid -19",Contratado,NA,NA,2020-04-21,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Eva Basagoitia Quispe (Telf: 6229679),NA,NA,-,NA,2020-04-08,Potosi,NB-SABS (D.S.0181),1,4713000,39100,SANITIZADOR EN GEL DE 360 GRS.,BOTES,360,NA,NA,HIDALGO QUIROGA JUAN CARLOS,20,7200,360,20,7200,Contratado,Cronograma
20-0905-00-1038618-0-E,Gobierno Autónomo Departamental De Potosí,Bienes,CD,"Compra Material De Limpieza (Lavandina Bote De 5lt.), Sanitizador En Gel (Bote De 360 Grs.), Alcohol En Gel (Bote De 5 Lt.) Y Otros Para La Prevencion De La Emergencia Sanitaria Covid -19",Contratado,NA,NA,2020-04-21,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Eva Basagoitia Quispe (Telf: 6229679),NA,NA,-,NA,2020-04-08,Potosi,NB-SABS (D.S.0181),2,4713000,39100,ALCOHOL EN GEL DE 5 LITROS,BOTES,120,NA,NA,HIDALGO QUIROGA JUAN CARLOS,200,24000,120,200,24000,Contratado,Cronograma
20-0905-00-1038618-0-E,Gobierno Autónomo Departamental De Potosí,Bienes,CD,"Compra Material De Limpieza (Lavandina Bote De 5lt.), Sanitizador En Gel (Bote De 360 Grs.), Alcohol En Gel (Bote De 5 Lt.) Y Otros Para La Prevencion De La Emergencia Sanitaria Covid -19",Contratado,NA,NA,2020-04-21,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Eva Basagoitia Quispe (Telf: 6229679),NA,NA,-,NA,2020-04-08,Potosi,NB-SABS (D.S.0181),3,4713000,39100,PAPEL TOHALLADO,PAR.,16,NA,NA,HIDALGO QUIROGA JUAN CARLOS,15,240,16,15,240,Contratado,Cronograma
20-0905-00-1038618-0-E,Gobierno Autónomo Departamental De Potosí,Bienes,CD,"Compra Material De Limpieza (Lavandina Bote De 5lt.), Sanitizador En Gel (Bote De 360 Grs.), Alcohol En Gel (Bote De 5 Lt.) Y Otros Para La Prevencion De La Emergencia Sanitaria Covid -19",Contratado,NA,NA,2020-04-21,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Eva Basagoitia Quispe (Telf: 6229679),NA,NA,-,NA,2020-04-08,Potosi,NB-SABS (D.S.0181),4,4713000,39100,LAVANDINA DE 5 LITROS,BIDON,215,NA,NA,HIDALGO QUIROGA JUAN CARLOS,60,12900,215,60,12900,Contratado,Cronograma
20-1302-00-1039323-0-E,Gobierno Autonomo Municipal De Quillacollo,Bienes,CM,Compra De Emergencia De Alcohol En Gel Sanitizador Y Jabon Liquido Antibacterial Para Los Diferentes Centros De Salud De Quillacollo,Contratado,NA,NA,2020-04-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Mireya Torrez Lizarazu (Telf: 4260095),NA,NA,-,NA,2020-03-13,Cochabamba,NB-SABS (D.S.0181),1,4713000,39100,JABON LIQUIDO ANTIBACTERIAL DE 1000 MLS. MARCA LIZ IND. NACIONAL,FRASCO,494,NA,NA,LIMPIEZA GROUP S.R.L.,17,8398,494,17,8398,Contratado,Cronograma
20-1302-00-1039323-0-E,Gobierno Autonomo Municipal De Quillacollo,Bienes,CM,Compra De Emergencia De Alcohol En Gel Sanitizador Y Jabon Liquido Antibacterial Para Los Diferentes Centros De Salud De Quillacollo,Contratado,NA,NA,2020-04-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Mireya Torrez Lizarazu (Telf: 4260095),NA,NA,-,NA,2020-03-13,Cochabamba,NB-SABS (D.S.0181),2,4713000,39100,ALCOHOL EN GEL SANITIZADOR DE 1000 MLS. MARCA SPARTAN CON TAPA DOSIFICADORA IND. NACIONAL,FRASCO,1300,NA,NA,LIMPIEZA GROUP S.R.L.,32,41600,1300,32,41600,Contratado,Cronograma
