cuce,entidad,tipo_contratacion,modalidad,objeto,estado.x,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado.y,cronograma
20-0417-09-1032544-0-E,Caja Nacional De Salud - Regional La Paz,Bienes,CM,3000 M3 Oxigeno Medicinal. Administracion His-Viacha,Contratado,,,2020-03-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Brayan Luis Cabrera Vera (Telf: 2-901777),,,-,,2020-02-03,La Paz,NB-SABS (D.S.0181),1,4227000,34200,3000 M3 OXIGENO MEDICINAL. ADMINISTRACION HIS- VIACHA,M3,3000,,,PRAXAIR BOLIVIA S.R.L.,12,36000,,,,Contratado,Cronograma
20-0417-09-1032544-0-E,Caja Nacional De Salud - Regional La Paz,Bienes,CM,3000 M3 Oxigeno Medicinal. Administracion His-Viacha,Contratado,,,2020-03-03,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Brayan Luis Cabrera Vera (Telf: 2-901777),,,-,,2020-02-03,La Paz,NB-SABS (D.S.0181),1,4227000,34200,3000 M3 OXIGENO MEDICINAL. ADMINISTRACION HIS- VIACHA,M3,,,,PRAXAIR BOLIVIA S.R.L.,12,,,12,,Contratado,Cronograma
20-0417-09-1033941-0-E,Caja Nacional De Salud - Regional La Paz,Bienes,CM,"5 Items Otros Repuestos Y Accesorios (4 Pza Valvula De Tres Vias, 4 Pza Diafragma De Valvula Booster, 4 Juegos Mangueras Internas De Oxigeno, 4 Juegos Mangueras Internas De Aire, 4 Pza Baterias Recargable Interna De 12 Volt. Electromedicina Hode Materno Infantil",Contratado,,,2020-03-09,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Brayan Luis Cabrera Vera (Telf: 2-901777),,,-,,2020-03-03,La Paz,NB-SABS (D.S.0181),1,4112000,39800,"5 ITEMS OTROS REPUESTOS Y ACCESORIOS (4 PZA VALVULA DE TRES VIAS, 4 PZA DIAFRAGMA DE VALVULA BOOSTER, 4 JUEGOS MANGUERAS INTERNAS DE OXIGENO, 4 JUEGOS MANGUERAS INTERNAS DE AIRE, 4 PZA",GLOBAL,1,,,CHAVEZ CONDORI JOSE LUIS,49000,49000,1,49000,49000,Contratado,Cronograma
20-0417-09-1033941-0-E,Caja Nacional De Salud - Regional La Paz,Bienes,CM,"5 Items Otros Repuestos Y Accesorios (4 Pza Valvula De Tres Vias, 4 Pza Diafragma De Valvula Booster, 4 Juegos Mangueras Internas De Oxigeno, 4 Juegos Mangueras Internas De Aire, 4 Pza Baterias Recargable Interna De 12 Volt. Electromedicina Hode Materno Infantil",Contratado,,,2020-03-09,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Brayan Luis Cabrera Vera (Telf: 2-901777),,,-,,2020-03-03,La Paz,NB-SABS (D.S.0181),1,4112000,39800,"5 ITEMS OTROS REPUESTOS Y ACCESORIOS (4 PZA VALVULA DE TRES VIAS, 4 PZA DIAFRAGMA DE VALVULA BOOSTER, 4 JUEGOS MANGUERAS INTERNAS DE OXIGENO, 4 JUEGOS MANGUERAS INTERNAS DE AIRE, 4 PZA",GLOBAL,,,,CHAVEZ CONDORI JOSE LUIS,,,,,,Contratado,Cronograma
19-0417-03-1034294-0-E,Caja Nacional De Salud Regional Santa Cruz,Bienes,CM,10 Pzas. Tubo De Oxigeno - Dpto De Pediatria Hosp. Mat. Inf. C.N.S.,Contratado,,,2020-03-10,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Olivia  Lopez Chavez (Telf: 3393354),,,-,,2019-11-15,Santa Cruz,NB-SABS (D.S.0181),1,4216000,43400,10 PZAS. TUBO DE OXIGENO - DPTO DE PEDIATRIA HOSP. MAT. INF. C.N.S.,PIEZAS,10,,,ARAUCO ROMERO JIMMY JUNIOR,2300,23000,10,2300,23000,Contratado,Cronograma
19-0417-03-1034294-0-E,Caja Nacional De Salud Regional Santa Cruz,Bienes,CM,10 Pzas. Tubo De Oxigeno - Dpto De Pediatria Hosp. Mat. Inf. C.N.S.,Contratado,,,2020-03-10,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Olivia  Lopez Chavez (Telf: 3393354),,,-,,2019-11-15,Santa Cruz,NB-SABS (D.S.0181),1,4216000,43400,10 PZAS. TUBO DE OXIGENO - DPTO DE PEDIATRIA HOSP. MAT. INF. C.N.S.,PIEZAS,10,,,ARAUCO ROMERO JIMMY JUNIOR,,,10,,,Contratado,Cronograma
20-1702-00-1034795-0-E,Gobierno Autonomo Municipal De Cotoca,Bienes,CM,Compra De Oxigeno Medicinal Para El Area De Emergencia Del Sistema Unico De Salud Del H.M.V.C.,Contratado,,,2020-03-11,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Cinthya Anahy Lino Flores (Telf: 3882547),,,-,,2020-02-03,Santa Cruz,NB-SABS (D.S.0181),1,4214000,34200,OXIGENO MEDICINAL,M3,1851,,,ANTEZANA  DE CALLEJAS CLAUDIA VERONICA,27,49977,1851,27,49977,Contratado,Cronograma
20-1702-00-1034795-0-E,Gobierno Autonomo Municipal De Cotoca,Bienes,CM,Compra De Oxigeno Medicinal Para El Area De Emergencia Del Sistema Unico De Salud Del H.M.V.C.,Contratado,,,2020-03-11,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Cinthya Anahy Lino Flores (Telf: 3882547),,,-,,2020-02-03,Santa Cruz,NB-SABS (D.S.0181),1,4214000,34200,OXIGENO MEDICINAL,M3,,,,ANTEZANA  DE CALLEJAS CLAUDIA VERONICA,27,,,27,,Contratado,Cronograma
20-1401-00-1035484-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,5 Equipo Generador De Oxigeno (Unidad De Salud Municipal - Para La Unidad De Hemodialisis Alm-P-00306/20),Contratado,,,2020-03-12,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Andres Angulo Rocha (Telf: 25251624),,,-,,2020-02-20,Oruro,NB-SABS (D.S.0181),1,4218000,43400,5 EQUIPO GENERADOR DE OXIGENO (UNIDAD DE SALUD MUNICIPAL - PARA LA UNIDAD DE HEMODIALISIS ALM-P- 00306/20),EQUIPO,5,,,GUZMAN QUIROGA KATTY ROXANA LILIA,6380,31900,5,6380,31900,Contratado,Cronograma
20-1401-00-1035484-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,5 Equipo Generador De Oxigeno (Unidad De Salud Municipal - Para La Unidad De Hemodialisis Alm-P-00306/20),Contratado,,,2020-03-12,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Andres Angulo Rocha (Telf: 25251624),,,-,,2020-02-20,Oruro,NB-SABS (D.S.0181),1,4218000,43400,5 EQUIPO GENERADOR DE OXIGENO (UNIDAD DE SALUD MUNICIPAL - PARA LA UNIDAD DE HEMODIALISIS ALM-P- 00306/20),EQUIPO,5,,,GUZMAN QUIROGA KATTY ROXANA LILIA,,,5,,,Contratado,Cronograma
