cuce,entidad,tipo_contratacion,modalidad,objeto,estado.x,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado.y,cronograma
20-0417-04-1035224-1-1,Caja Nacional De Salud Regional Cochabamba,Bienes,ANPE,Compra Cassette Al Plasma Para Supervision Regional De Enfermeria - Regional Cochabamba,Contratado,,2020-03-18,2020-03-12,ConvocatoriaDocumento Base de ContratacionRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de Servicio,FORM 100FORM 170FORM 200,Ver Ficha,Marcela Katherine Valdivia Humerez (Telf: 4234378),,,-,,2020-03-25,Cochabamba,NB-SABS (D.S.0181),1,4228000,34200,CASSETTE AL PLASMA,PIEZA,150,980,147000,GEDESA LTDA,980,147000,,,,Contratado,Cronograma 0
20-0902-41-1042152-0-E,Instituto De Gastroenterologia,Bienes,CM,Compra De Medicamentos - Aminoacido Aminoplasmal - Furosemida,Contratado,,,2020-05-29,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Ivan Arturo Cordova Alvarez  (Telf: 2246424),,,-,,2020-05-14,La Paz,NB-SABS (D.S.0181),1,5117000,34200,AMINOACIDO - AMINOPLASMAL 500 ML (10%),FRASCO,280,,,DROGUERIA INTI S.A.,144,40320,280,144,40320,Contratado,Cronograma
20-0902-41-1042152-0-E,Instituto De Gastroenterologia,Bienes,CM,Compra De Medicamentos - Aminoacido Aminoplasmal - Furosemida,Contratado,,,2020-05-29,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Ivan Arturo Cordova Alvarez  (Telf: 2246424),,,-,,2020-05-14,La Paz,NB-SABS (D.S.0181),2,5117000,34200,FUROSEMIDA 10MG/ML,INYECTA BLE,1500,,,LABORATORIO HAHNEMANN S.R.L.,1.5,2250,1500,1.5,2250,Contratado,Cronograma
20-0047-15-1042512-0-E,Servicio Nacional De Sanidad Agropecuaria E Inocuidad Alimentaria Senasag,Bienes,CM,Adquisicion De Kits De Mycoplasma Mg Y Ms Para Sala De Sanidad Aviar De Unalab,Contratado,,,2020-06-01,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Ada Sheyla Hinojosa Balboa (Telf: 3-46281085),,,-,,2020-04-26,Beni,NB-SABS (D.S.0181),1,4112000,34200,KIT DE ELISA PARA MG,KIT,2,,,NUTREX S.R.L.,4919,9838,2,4919,9838,Contratado,Cronograma
20-0047-15-1042512-0-E,Servicio Nacional De Sanidad Agropecuaria E Inocuidad Alimentaria Senasag,Bienes,CM,Adquisicion De Kits De Mycoplasma Mg Y Ms Para Sala De Sanidad Aviar De Unalab,Contratado,,,2020-06-01,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Ada Sheyla Hinojosa Balboa (Telf: 3-46281085),,,-,,2020-04-26,Beni,NB-SABS (D.S.0181),2,4112000,34200,KIT DE ELISA PARA MS,KIT,2,,,NUTREX S.R.L.,5510,11020,2,5510,11020,Contratado,Cronograma
20-0903-13-1042824-1-1,Banco De Sangre De Referencia Departamental Cochabamba,Bienes,ANPE,Set Plasmaferesis Y Leucoaferesis,Contratado,,2020-06-09,2020-06-02,ConvocatoriaDocumento Base de ContratacionRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 100FORM 170FORM 200FORM 500,Ver Ficha,Sheril Ximena Lopez Gadella (Telf: 4532200),,,-,,2020-06-10,Cochabamba,NB-SABS (D.S.0181),1,4222000,34200,SET DE LEUCOAFERESIS,SET,10,3050,30500,PEREZ ZAMBRANA MARIA NANCY,3050,30500,10,3050,30500,Contratado,Cronograma 0
20-0903-13-1042824-1-1,Banco De Sangre De Referencia Departamental Cochabamba,Bienes,ANPE,Set Plasmaferesis Y Leucoaferesis,Contratado,,2020-06-09,2020-06-02,ConvocatoriaDocumento Base de ContratacionRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 100FORM 170FORM 200FORM 500,Ver Ficha,Sheril Ximena Lopez Gadella (Telf: 4532200),,,-,,2020-06-10,Cochabamba,NB-SABS (D.S.0181),2,4222000,34200,SET DE PLASMAFERESIS,SET,10,3050,30500,PEREZ ZAMBRANA MARIA NANCY,3050,30500,10,3050,30500,Contratado,Cronograma 0
20-0902-44-1046092-1-1,Banco De Sangre De Referencia Departamental De La Paz - Hemocentro,Bienes,ANPE,Enzimoinmunoanalisis Elisa X 480 Determinaciones Para Deteccion De Antigeno De Superficie Del Virus De La Hepatitis ?B? (Hbsag) En Suero O Plasma Humano,Contratado,,2020-06-30,2020-06-23,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de Servicio,FORM 100FORM 170FORM 200,Ver Ficha,Hugo  Quispe  Limachi  (Telf: ),,,-,,2020-07-03,La Paz,NB-SABS (D.S.0181),1,1235000,34200,ENZIMOINMUNOANALISIS ELISA X 480 DETERMINACIONES PARA DETECCION DE ANTIGENO DE SUPERFICIE DEL VIRUS DE LA HEPATITIS ?B? (HBsAg) EN SUERO O PLASMA HUMANO,KITS,15,4000,60000,ANALISIS CLINICO TITICACA S.R.L.,4000,60000,,,,Contratado,Cronograma 0
20-0902-44-1046068-1-1,Banco De Sangre De Referencia Departamental De La Paz - Hemocentro,Bienes,ANPE,Enzimoinmunoanalisis Elisa X 480 Determinaciones Para Deteccion In Vitro De Anticuerpos Anti-Hcv Y Antigeno Viral Del Virus De La Hepatitis ?C? En Suero O Plasma Humano,Contratado,,2020-06-30,2020-06-23,ConvocatoriaDocumento Base de ContratacionRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de Servicio,FORM 100FORM 170FORM 200,Ver Ficha,Hugo  Quispe  Limachi  (Telf: ),,,-,,2020-07-03,La Paz,NB-SABS (D.S.0181),1,1235000,34200,ENZIMOINMUNOANALISIS ELISA X 480 DETERMINACIONES PARA DETECCION IN VITRO DE ANTICUERPOS ANTI-HCV Y ANTIGENO VIRAL DEL VIRUS DE LA HEPATITIS ?C? EN SUERO O PLASMA HUMANO,KITS,15,7600,114000,ANALISIS CLINICO TITICACA S.R.L.,7600,114000,,,,Contratado,Cronograma 0
20-0902-44-1048232-1-1,Banco De Sangre De Referencia Departamental De La Paz - Hemocentro,Bienes,ANPE,"Sets De Aferesis Para Colecta De Celulas Mononucleares Y Plasma, Mas Soluciones De Anticoagulante Acd-A",Contratado,,2020-07-13,2020-07-06,Documento Base de ContratacionConvocatoriaInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 100FORM 170FORM 200,Ver Ficha,Hugo  Quispe  Limachi  (Telf: ),,,-,,2020-07-15,La Paz,NB-SABS (D.S.0181),1,4222000,39400,"SETS DE AFERESIS PARA COLECTA DE CELULAS MONONUCLEARES Y PLASMA, MAS SOLUCIONES DE ANTICOAGULANTE ACD- A",SETS,40,3000,120000,VILLA FLORES PATRICIA,3000,120000,,,,Contratado,Cronograma 0
