cuce,entidad,tipo_contratacion,modalidad,objeto,estado.x,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado.y,cronograma
20-1401-00-1039271-0-E,Gobierno Autonomo Municipal De Oruro,Bienes,CM,"1000 Pzas. Respirador 8210 Contra Polvo Nâº95, 6 Pzas. Respirador 9820 Contra Polvo Nâº 95 Plegables, 36 Pzas. Protector Facial H4 Con Cabecera 82781 C/Policarbonato, 36 Pzas. Antiparras Gogle Gerar Antipanate Acotchgard-Tm,........................(Unidad De Salud Municipal-Prendas De Bioseguridad Alm-P-00229/20)",Contratado,,,2020-04-29,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Andres Angulo Rocha (Telf: 25251624),,,-,,2020-02-19,Oruro,NB-SABS (D.S.0181),1,4618000,33300,"1000 PZAS. RESPIRADOR 8210 CONTRA POLVO No95, 6 PZAS. RESPIRADOR 9820 CONTRA POLVO No 95 PLEGABLES, 36 PZAS. PROTECTOR FACIAL H4 CON CABECERA 82781 C/POLICARBONATO, 36 PZAS. ANTIPARRAS GOGLE GERAR ANT",PIEZA,1,,,CUBA LARA CARLOS,49850,49850,1,49850,49850,Contratado,Cronograma
20-1805-00-1039210-0-E,Gobierno Autonomo Municipal De Guayaramerin,Bienes,EM,Compra De  Equipos Medicos (Respiradores) Para La Sal De Salud De Aislamiento Del Covid - 19 En El Municipio De Guayaramerin Correspondiente  A La Gestion 2020,Contratado,,,2020-04-29,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Fabiola Aliaga Anara (Telf: 8553628),,,-,,2020-04-29,Beni,NB-SABS (D.S.0181),1,4214000,43400,COMPRA DE EQUIPOS MEDICOS (RESPIRADORES) PARA LA SAL DE SALUD DE AISLAMIENTO DEL COVID - 19 EN EL MUNICIPIO DE GUAYARAMERIN CORRESPONDIENTE A LA GESTION 2020,GLOBAL,1,,,VARGAS CANO REYNALDO GASPAR,300000,300000,1,300000,300000,Contratado,Cronograma
20-1312-00-1039752-0-E,Gobierno Autonomo Municipal De Sacaba,Bienes,OF,"Prevencion , Control Y Atencion Del Coronavirus (Adq. De Respiradores De Media Cara Para El H. Mexico Y Establecimientos De Primer Nivel)",Contratado,,,2020-05-07,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Juan Jose Bustamante Lujan (Telf: 4702301),,,-,,2020-04-27,Cochabamba,Otra Normativa especifica,1,4214000,39400,"PREVENCION , CONTROL Y ATENCION DEL CORONAVIRUS (ADQ. DE RESPIRADORES DE MEDIA CARAPARA EL H. MEXICO Y ESTABLECIMIENTOS DE PRIMER NIVEL)",PIEZA,400,,,CHOQUE SALINAS JOSEFINA,255,102000,400,255,102000,Contratado,Cronograma
20-1703-00-1040305-0-E,Gobierno Autonomo Municipal De Ayacucho (Porongo),Bienes,CM,Compra De Respirador N95 Con Valvula Que Sera Utilizado En El Centro De Salud San Juan Bautista De Porongo,Contratado,,,2020-05-13,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Jacquelin Cecilia Vaca Ribera (Telf: 3841001 - 3841006),,,-,,2020-03-13,Santa Cruz,NB-SABS (D.S.0181),1,4217000,43400,COMPRA DE RESPIRADOR N95,PZA,530,,,CHUNGARA DELGADO ORLANDO DANIEL,60,31800,530,60,31800,Contratado,Cronograma
20-0903-00-1040406-0-E,Gobierno Autónomo Departamental De Cochabamba,Bienes,CD,Adquisicion De Ventilador Mecanico Para Atencion De Pacientes Covid 19 (Respirador Adulto Pediatrico),Contratado,,,2020-05-14,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Paola Marcela Guzman Heredia (Telf: 4519121-4255253),,,-,,2020-04-07,Cochabamba,NB-SABS (D.S.0181),1,4110000,43400,ADQUISICION DE VENTILADOR MECANICO PARA ATENCION DE PACIENTES COVID 19 (RESPIRADOR ADULTO PEDIATRICO),GLOBAL,1,,,MEDIQUIP S.R.L.,350000,350000,1,350000,350000,Contratado,Cronograma
20-1201-00-1040707-0-E,Gobierno Autonomo Municipal De La Paz,Bienes,CD,"Adquisicion De Mascarillas, Sistemas De Drenaje, Tubos Corrugados, Cateters, Filtros Para Respiradores Y Humimificadores De Oxigeno Para La Atencion De Terapia Intensiva A Pacientes Covid 19 Gestion 2020",Contratado,,,2020-05-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Wara Verenisse Choquehuanca Lima (Telf: 2203034),,,-,,2020-05-08,La Paz,NB-SABS (D.S.0181),1,4214000,39400,SISTEMA DE DRENAJE MEDIASTINO; D/1600 CC C/DRENAJE 22FR YB 26 FR,JUEGO,9,,,HURTADO PEREDO MEDICAL & INSTRUMENT S.R.L.              HP MEDICAL S.R.L.,211.4,1902.6,9,211.4,1902.6,Contratado,Cronograma
20-1201-00-1040707-0-E,Gobierno Autonomo Municipal De La Paz,Bienes,CD,"Adquisicion De Mascarillas, Sistemas De Drenaje, Tubos Corrugados, Cateters, Filtros Para Respiradores Y Humimificadores De Oxigeno Para La Atencion De Terapia Intensiva A Pacientes Covid 19 Gestion 2020",Contratado,,,2020-05-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Wara Verenisse Choquehuanca Lima (Telf: 2203034),,,-,,2020-05-08,La Paz,NB-SABS (D.S.0181),2,4214000,39400,SISTEMA DE DRENAJE MEDIASTINO; D/1600 CC C/DRENAJE 24FR YB 28 FR,JUEGO,9,,,HURTADO PEREDO MEDICAL & INSTRUMENT S.R.L.              HP MEDICAL S.R.L.,211.4,1902.6,9,211.4,1902.6,Contratado,Cronograma
20-1201-00-1040707-0-E,Gobierno Autonomo Municipal De La Paz,Bienes,CD,"Adquisicion De Mascarillas, Sistemas De Drenaje, Tubos Corrugados, Cateters, Filtros Para Respiradores Y Humimificadores De Oxigeno Para La Atencion De Terapia Intensiva A Pacientes Covid 19 Gestion 2020",Contratado,,,2020-05-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Wara Verenisse Choquehuanca Lima (Telf: 2203034),,,-,,2020-05-08,La Paz,NB-SABS (D.S.0181),3,4214000,39400,"CATETER VENOSO CENTRAL, TRIPLE LUMEN",PIEZA,57,,,HURTADO PEREDO MEDICAL & INSTRUMENT S.R.L.              HP MEDICAL S.R.L.,480.3,27377.1,57,480.3,27377.1,Contratado,Cronograma
20-1201-00-1040707-0-E,Gobierno Autonomo Municipal De La Paz,Bienes,CD,"Adquisicion De Mascarillas, Sistemas De Drenaje, Tubos Corrugados, Cateters, Filtros Para Respiradores Y Humimificadores De Oxigeno Para La Atencion De Terapia Intensiva A Pacientes Covid 19 Gestion 2020",Contratado,,,2020-05-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Wara Verenisse Choquehuanca Lima (Telf: 2203034),,,-,,2020-05-08,La Paz,NB-SABS (D.S.0181),4,4214000,39400,MASCARILLA PARA NEBULIZAR; (ADULTO),PIEZA,43,,,HURTADO PEREDO MEDICAL & INSTRUMENT S.R.L.              HP MEDICAL S.R.L.,17,731,43,17,731,Contratado,Cronograma
20-1201-00-1040707-0-E,Gobierno Autonomo Municipal De La Paz,Bienes,CD,"Adquisicion De Mascarillas, Sistemas De Drenaje, Tubos Corrugados, Cateters, Filtros Para Respiradores Y Humimificadores De Oxigeno Para La Atencion De Terapia Intensiva A Pacientes Covid 19 Gestion 2020",Contratado,,,2020-05-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Wara Verenisse Choquehuanca Lima (Telf: 2203034),,,-,,2020-05-08,La Paz,NB-SABS (D.S.0181),5,4214000,39400,"HUMIDIFICADOR DE OXIGENO, CON ROSCA METALICA",PIEZA,87,,,DGCOM S.R.L. INSUMOS Y MOBILIARIO HOSPITALARIO,158,13746,87,158,13746,Contratado,Cronograma
