cuce,entidad,tipo_contratacion,modalidad,objeto,estado,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1312-00-1036342-0-E,Gobierno Autonomo Municipal De Sacaba,Bienes,CM,Adquisición De Vacunas Fármacos Y Reactivos E Insumos Veterinarios (Adquisición De Jeringas Desechables Para Las Campañas De Vacunacion Antirrábica Canina Y Felina Gestión 2020),Contratado,NA,NA,2020-03-17,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Dering Orozco Meneces (Telf: 4702301),NA,NA,-,NA,2020-03-05,Cochabamba,NB-SABS (D.S.0181)
20-0901-00-1036666-1-1,Gobierno Autonomo Departamental De Chuquisaca,Bienes,ANPP,Adquisicion De Productos Quimicos Y Farmaceuticos (Vacunas Y Otros Para Prevencion Y Control De Enfermedades En Animales) Para El Programa Sanidad Animal Y Vegetal,Contratado,NA,2020-06-01,2020-03-18,ConvocatoriaDocumento Base de ContratacionResolucion/Documento de SuspensionResolucion/Documento de ReanudacionActa Reunion de AclaracionInforme de la Comision/Responsable de EvaluacionRes. de Desierta (nota)Res. de Adjudicacion (nota)Ver mas...,FORM 100FORM 100-EFORM RPSFORM 170FORM 200FORM 500,Ver Ficha,Jorge  Luis Bayo Parina (Telf: (591-4) 64-39675 ),NA,NA,-,25/03/2020 10:00,2020-06-05,Chuquisaca,NB-SABS (D.S.0181)
20-0046-26-1037456-1-1,Instituto Nacional De Laboratorios De Salud Inlasa,Bienes,ANPE,Adquisicion De Ampollas Color Ambar Para El Laboratorio De Produccion De Vacuna Antirrabica De Uso Humano Del Inlasa,Contratado,NA,2020-03-31,2020-03-25,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 100FORM 170FORM 200FORM 500,Ver Ficha,Alfredo Victor  Paye  Ichuta (Telf: 2226048),NA,NA,-,NA,2020-04-15,La Paz,NB-SABS (D.S.0181)
20-0046-28-1040089-0-E,Caja De Salud Cordes Cochabamba,Bienes,CM,"Adquisicion De Productos Farmaceuticos - Medicamentos Menor, Vacuna Contra Influenza",Contratado,NA,NA,2020-05-12,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Iver Cortez Alanis (Telf: 4532715),NA,NA,-,NA,2020-04-13,Cochabamba,NB-SABS (D.S.0181)
20-0046-26-1045022-0-E,Instituto Nacional De Laboratorios De Salud Inlasa,Bienes,CM,Adquisicion De Cajas Para Acondicionar Vacuna Humana Con Estuche Para 10 Ampollas Para El Laboratorio De Produccion De Vacuna Antirrabica De Uso Humano Del Inlasa,Contratado,NA,NA,2020-06-17,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioInformeActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Alfredo Victor  Paye  Ichuta (Telf: 2226048),NA,NA,-,NA,2020-04-02,La Paz,NB-SABS (D.S.0181)
20-0046-26-1046087-0-E,Instituto Nacional De Laboratorios De Salud Inlasa,Bienes,CM,Adquisicion De Frascos Roller Para El Laboratorio De Produccion De Vacuna Antirrabica En Cultivo Celular - Inlasa,Contratado,NA,NA,2020-06-23,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioInforme,FORM 400,Ver Ficha,Alfredo Victor  Paye  Ichuta (Telf: 2226048),NA,NA,-,NA,2020-05-27,La Paz,NB-SABS (D.S.0181)
20-1312-00-1052368-0-E,Gobierno Autonomo Municipal De Sacaba,Bienes,CM,"Adquisicion De Vacunas, Farmacos, Reactivos E Insumos Veterinarios (Adquisicion De Alimento Balanceado Para Canes)",Contratado,NA,NA,2020-07-30,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Dering Orozco Meneces (Telf: 4702301),NA,NA,-,NA,2020-07-16,Cochabamba,NB-SABS (D.S.0181)
20-4601-03-1050974-1-2,Gobierno Autonomo Regional Del Gran Chaco - Villamontes,Bienes,ANPP,Adquisición De Vacunas Contra La Rabia Paresciante Bovina E Insumos Veterinarios. Para El Programa Fortalecimiento A La Sanidad Animal Vm.,Contratado,NA,NA,NA,1.Convocatoria 2.Documento Base de Contratacion 3.Acta de Apertura 4.Informe de la Comision/Responsable de Evaluacion 5.Res. de Adjudicacion (nota) 6.Contrato/Orden de Compra/Orden de Servicio 7.Acta o informe de recepcion definitiva,1.FORM 100 2.FORM 170 3.FORM 200 4.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=20-4601-03-1050974-1-2,Elena Adalgisa  Duran (Telf: 46722416),NA,NA,-,NA,NA,Tarija,NB-SABS (D.S.0181)
20-0046-00-1052742-1-1,Ministerio De Salud,Bienes,ANPE,Adquisición De Instrumental Menor Médico Quirúrgico (Transportadora De Vacuna) Para El Fortalecimiento Al Sistema De Salud E Inmunización Gavi-Fssi,Contratado,NA,NA,NA,1.Documento Base de Contratacion 2.Convocatoria 3.Resolución/Nota/Documento que autorice la Ampliacion 4.Informe de la Comision/Responsable de Evaluacion 5.Res. de Adjudicacion (nota) 6.Contrato/Orden de Compra/Orden de Servicio 7.Acta o informe de recepcion definitiva 8.Acta o informe de recepcion definitiva,1.FORM 100 2.FORM 100-E 3.FORM 170 4.FORM 200 5.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=20-0046-00-1052742-1-1,Roxana Huaygua Calle (Telf: 2484592),NA,NA,-,NA,NA,La Paz,NB-SABS (D.S.0181)
20-0046-00-1051856-1-1,Ministerio De Salud,Bienes,ANPE,Adquisición De Ropa De Bioseguridad Para Las Brigadas De Vacunación En Fortalecimiento Al Sistema De Salud De Salud E Inmunización A Nivel Nacional Gavi-Fssi,Contratado,NA,NA,NA,1.Convocatoria 2.Documento Base de Contratacion 3.Res. de Adjudicacion (nota) 4.Informe de la Comision/Responsable de Evaluacion 5.Solicitud habilitación FORM-170 (requerido) 6.Res. de Desierta (nota) 7.Informe de la Comision/Responsable de Evaluacion 8.Contrato/Orden de Compra/Orden de Servicio 9.Ver mas...,1.FORM 100 2.FORM 170 3.FORM 170 4.FORM 200 5.FORM 500,https://www.sicoes.gob.bo/portal/contrataciones/ficha/fichaProceso.php?cp=20-0046-00-1051856-1-1,Roxana Huaygua Calle (Telf: 2484592),NA,NA,-,NA,NA,La Paz,NB-SABS (D.S.0181)
